sid,area,power
979,6510.68,5701.06
325,6682.92,5692.52
894,6508.46,5479.5
166,6376.97,5625.56
710,6512.22,5702.68
669,6912.75,5917.36
671,6832.73,5650.15
641,6372.5,5400.69
117,7197.05,6166.13
400,7138.36,6244.07
717,7061.01,6203.03
599,7166.09,5919.55
706,6664.15,5598.53
727,6713.33,5668.43
794,6684.12,5730.71
427,7189.15,6231.33
84,6794.93,5691.94
61,6914.71,5939.16
436,7580.18,6385.92
680,7027.9,5940.39
445,7358.6,6229.53
489,7725.06,6540.11
973,6462.11,5524.46
307,9265.68,7567.42
808,6493.81,5553.75
382,6577.09,5665.31
697,6628.81,5745.49
402,6714.97,5657.19
939,6728.08,5660.83
408,6974.05,6131.22
880,6887.12,6028.08
615,7046.98,5847.27
901,6635.34,5642.11
346,7167.85,6171.52
245,9258.43,7764.7
406,6429.84,5457.52
991,7365.16,6094.81
972,7192.16,5835.23
618,6770.23,5853.04
548,6643.3,5627.72
355,6965.23,5974.76
54,6507.8,5783.12
396,6685.88,5796.22
838,6500.94,5670.92
558,6661.09,5811.17
607,7435.96,6343.38
414,7030.1,5890.98
279,6852.23,6011.58
696,6588.23,5551.03
646,6313.76,5556.37
181,6431.77,5665.78
447,6753.24,5717.25
190,7451.3,6456.63
169,7048.34,6050.17
707,6857.26,5954.07
910,7312.28,6128.78
252,7489.59,6198.48
936,6638.64,5576.31
542,6690.62,5665.07
64,6491.79,5648.03
585,7006.54,6059.32
448,7153.09,6168.05
524,9394.12,7755.68
529,8369.1,7188.56
59,6629.49,5671.82
874,6651.1,5608.27
393,7195.44,6145.37
313,6436.78,5595.95
841,7103.78,6108.35
271,6451.06,5434.55
541,6536.55,5666.48
594,7052.49,5964.39
290,6452.66,5613.17
392,6744.87,5683.54
892,6423.61,5395.42
683,6626.92,5758.51
421,6564.1,5701.42
600,6909.0,5927.12
345,6683.66,5739.76
983,7058.89,5942.23
492,8636.59,7335.09
186,7008.52,6225.26
788,6778.04,5845.44
264,6631.77,5621.14
718,6832.25,5814.79
649,6231.1,5534.19
89,6705.77,5704.76
418,6990.45,5812.19
262,7247.47,6040.17
