sid,area,power
717,12498.28,13052.1
117,12050.57,12339.04
400,11733.49,12487.32
979,11843.43,12557.37
325,11719.65,12447.9
671,11775.07,12496.44
894,11851.64,12419.54
166,11847.35,12585.71
669,11825.91,12359.91
710,11766.87,12568.69
599,11896.95,12542.93
641,11991.23,12699.85
436,12034.7,12608.72
489,11680.03,12228.07
427,11811.26,12531.47
706,11844.56,12615.79
84,11682.53,12641.98
794,11980.1,12669.12
445,11720.88,12471.28
727,11827.69,12720.05
680,11891.27,12705.09
61,11430.48,12201.67
307,11900.26,12707.9
973,11623.12,12675.3
382,11488.84,12417.32
697,11823.18,12527.45
808,11881.33,12517.29
245,11650.61,12345.73
402,11832.44,12553.12
880,12257.36,12679.56
939,11694.77,12527.81
615,11732.4,12304.39
346,11788.87,12655.55
408,11746.72,12584.5
991,11665.07,12381.16
901,11703.47,12480.92
406,11930.75,12637.44
972,11585.66,12244.42
396,11918.49,12865.47
54,11749.51,12449.95
355,11916.25,12982.26
618,11559.77,12342.67
548,11591.35,12203.15
838,11722.59,12816.88
607,11828.85,12462.05
558,11498.82,12627.51
414,11918.17,12619.79
279,11692.59,12381.31
696,11525.31,12339.18
190,11716.09,12393.54
646,11855.82,12547.19
181,11831.35,12557.16
447,11932.55,13000.68
169,11569.72,12371.81
910,11862.26,12617.76
524,11609.34,12658.15
252,11619.49,12189.54
707,11754.67,12509.87
542,11714.84,12434.47
936,11722.23,12481.1
64,11635.61,12492.93
448,11652.31,12444.9
585,12050.48,12743.62
529,11815.23,12482.62
59,11825.08,12532.71
393,11527.58,12320.0
841,11688.81,12446.97
874,11883.16,12673.81
313,11930.81,12778.15
271,11747.19,12306.92
594,11581.11,12272.98
541,11812.2,12634.41
290,11802.89,12456.66
392,11862.46,12739.26
492,11585.64,12325.61
421,11602.47,12447.35
983,11677.68,12238.45
186,11677.56,12433.61
683,11573.44,12411.81
600,11754.44,12323.9
345,11869.97,12683.88
892,11958.2,12597.68
718,12263.19,12755.49
788,12323.23,12718.62
264,11753.12,12300.89
649,11723.99,12654.87
89,11569.77,12452.19
418,11841.97,12331.33
262,12451.88,13133.23
37,11614.74,12585.7
209,11637.58,12506.84
760,11771.35,12494.38
481,12025.4,12704.1
748,11929.0,12897.92
360,11719.46,12248.7
326,11692.19,12459.45
184,11808.04,12346.64
762,11580.38,12589.13
422,11667.57,12306.33
951,11993.98,12677.48
790,11815.24,12596.25
940,12027.99,12934.22
5,11696.41,12382.99
834,11701.19,12408.13
562,11771.34,12655.89
660,11763.46,12564.63
366,11857.02,12783.84
34,11685.42,12466.03
518,11830.93,12551.86
515,11941.13,12579.31
949,11531.85,12293.0
916,11805.0,12537.27
772,11840.68,12487.94
465,11718.78,12169.07
741,12176.93,12622.9
164,11720.92,12213.98
370,12140.32,12731.2
624,12068.15,12673.23
818,11536.98,12426.67
604,12000.05,12727.49
984,11593.13,12406.4
71,11639.66,12426.44
988,11676.39,12378.77
525,11661.14,12437.1
873,11859.86,12633.11
487,11832.26,12548.94
777,11743.44,12515.46
162,11810.64,12425.5
300,11659.89,12157.75
237,11659.83,12438.71
145,11713.99,12469.02
362,11596.34,12820.46
238,11672.06,12463.39
132,11714.49,12611.36
666,11726.46,12529.66
658,11943.03,12738.41
453,11654.0,12394.83
428,11700.71,12454.95
19,12195.72,12514.99
667,11773.25,12805.48
216,11820.54,12669.45
621,11747.53,12478.39
573,11867.33,12584.13
527,11647.91,12414.98
312,11746.79,12472.45
565,12126.36,13049.94
86,11747.66,12264.68
970,11442.68,12249.07
107,11955.63,12912.9
644,11828.26,12561.18
410,11667.82,12413.81
446,12345.76,12961.19
363,11808.42,12801.53
505,11786.73,12449.03
628,11886.11,12608.07
980,11976.3,13040.01
206,11768.12,12273.1
457,12118.57,12874.41
911,11749.54,12452.59
975,11732.11,12405.15
327,11918.49,12633.09
606,11843.05,12514.38
123,11847.11,12531.38
974,11760.01,12504.19
240,11803.54,12580.57
147,11806.4,12563.38
918,11839.6,12631.38
497,11809.94,12389.35
224,11874.72,12588.75
905,11904.7,12764.01
434,12160.69,12565.33
334,11840.01,12515.79
498,11956.03,12375.78
771,12052.28,12445.73
922,11455.93,12471.9
15,11906.32,12578.81
832,11662.17,12494.25
958,11447.93,12558.97
990,11705.79,12533.74
775,11640.68,12375.33
333,11739.29,12477.8
336,11542.37,12044.16
593,11992.92,12965.08
862,11689.86,12417.72
960,11974.67,12689.59
851,11829.77,12574.51
533,11461.79,12507.7
904,11791.84,12434.64
509,11658.54,12465.05
906,11552.17,12619.01
283,11769.02,12479.72
567,11963.24,12817.76
695,12027.78,12479.89
343,12145.71,13007.97
90,12109.04,12918.74
699,11685.56,12338.21
678,11653.71,12379.95
102,11742.12,12370.45
485,11792.89,12526.79
849,11652.65,12157.45
475,11438.39,12209.24
473,12493.46,13296.98
372,11955.0,12705.35
879,11852.27,12712.71
320,11753.5,12477.63
60,12099.22,13157.89
872,12008.26,13041.93
861,11811.76,12662.15
291,11712.71,12532.22
211,11660.86,12495.01
25,11486.66,12229.27
13,12038.53,12419.96
555,11590.25,12584.26
797,11561.84,12443.16
369,11585.14,12424.41
168,11877.1,12445.1
796,11786.06,12800.22
754,11760.85,12402.95
837,11814.7,12659.66
109,11906.05,12983.23
500,11742.89,12568.62
430,11962.9,12755.8
928,11847.57,12606.07
749,11593.51,12297.12
474,11789.32,12563.69
611,11751.07,12381.57
351,11707.48,12324.25
352,12210.78,12888.74
595,11774.69,12587.14
867,11743.61,12573.24
69,11566.08,12222.23
0,11774.35,12432.8
36,11684.02,12410.22
494,11991.43,12373.75
229,11775.68,12418.63
705,11703.75,12409.43
276,11718.9,12597.01
46,11520.04,12236.14
813,11504.17,12262.04
144,11733.37,12850.58
137,11824.35,12456.34
310,11596.66,12410.57
342,11570.86,12243.72
610,11738.33,12678.1
519,11436.35,12346.77
776,11753.84,12474.37
296,11792.6,12463.07
367,11697.17,12323.4
226,11815.79,12636.28
915,11652.52,12255.49
941,11788.73,12404.72
134,11630.31,12456.19
885,11722.87,12381.97
545,11922.18,12676.22
161,11710.5,12455.76
304,11366.25,12102.94
148,11843.02,12591.05
745,11729.09,12349.33
415,11794.66,12440.01
185,11808.1,12566.28
214,11802.78,12529.39
551,11557.89,12255.01
100,11640.71,12312.76
694,12028.08,13127.53
780,11848.96,12464.1
113,11957.65,12907.46
43,11641.55,12404.94
926,11750.41,12715.23
444,11655.15,12347.27
281,11948.25,12367.03
722,11947.64,12700.25
232,11799.6,12379.49
588,11880.69,12522.12
827,11988.13,12779.96
495,11867.6,12555.03
364,11816.69,12668.74
496,12080.13,12826.15
514,11752.13,12701.81
423,11879.04,12667.49
140,11867.69,12785.08
198,11610.03,12395.94
897,11538.98,12516.29
670,12030.2,12427.33
996,12511.68,13069.3
703,11772.73,12356.38
200,11737.35,12550.47
141,11817.96,12602.32
274,11682.2,12483.12
103,12088.58,12841.33
459,11696.48,12524.73
739,11871.57,12791.54
260,11722.4,12427.39
623,11846.4,12892.22
114,11685.38,12406.67
44,11808.0,12547.69
965,11761.12,12566.39
721,11915.89,12485.8
690,12183.88,12474.6
709,11598.56,12394.27
961,11768.28,12545.34
284,12049.99,12636.24
942,11836.3,12529.84
824,11904.57,12710.14
52,11487.77,12226.99
27,11901.82,12674.67
385,12441.29,13011.27
952,11861.98,12562.29
863,11664.87,12311.5
516,12000.22,12631.66
464,11927.28,12881.69
815,11848.41,12663.51
395,11636.97,12354.07
616,11751.78,12575.42
244,11854.84,12532.93
439,11677.25,12437.13
75,11764.78,12543.26
547,11804.89,12441.85
640,12019.93,12692.12
688,11933.66,12567.86
914,11757.0,12500.46
79,11722.73,12543.16
898,11840.34,12456.88
50,12216.13,12606.45
716,12019.88,12436.34
467,11561.95,12214.55
167,11713.48,12564.64
309,11909.7,12954.85
285,11864.61,12461.13
472,11920.96,12906.85
662,11841.09,12580.72
116,11726.6,12376.13
66,11724.99,12603.38
42,11860.14,12706.78
389,11924.24,12566.89
752,11919.84,12379.41
672,11660.04,12337.24
597,11706.91,12387.55
479,11707.04,12410.42
959,11906.71,12652.58
508,11758.73,12417.48
907,11654.32,12526.58
919,11698.81,12326.92
253,12089.43,12795.28
189,12189.37,12643.97
449,11674.08,12241.64
49,11779.5,12540.03
21,11678.59,12296.46
478,11497.23,12264.56
68,12131.56,12997.97
943,11723.49,12531.18
239,11816.88,12553.03
929,11663.71,12334.79
193,12124.75,13173.95
589,11603.33,12445.11
380,11748.96,12422.3
217,11756.98,12557.05
633,11785.56,12525.35
512,11987.14,12598.02
82,11769.29,12537.64
468,11848.58,12506.45
159,11786.11,12366.12
839,11749.91,12306.91
17,12011.91,12978.08
878,11641.52,12510.84
411,12436.21,13091.65
10,11842.73,12517.41
738,11948.22,12837.68
111,12085.33,12882.18
152,11503.46,12271.3
802,11610.26,12470.04
270,11761.63,12447.6
803,11749.21,12477.84
3,11724.85,12574.53
568,11729.18,12547.95
373,12118.35,12646.3
561,11634.29,12211.64
685,11926.79,12592.76
903,12050.68,12838.24
452,11722.8,12528.59
868,11805.29,12455.52
390,11824.18,12646.13
31,11623.69,12244.32
530,11621.83,12357.79
648,11652.3,12618.33
381,11904.11,12737.82
93,11852.48,12826.94
976,11672.74,12335.56
659,12415.66,13103.36
947,11641.43,12495.68
143,11829.52,12539.65
321,11928.63,12712.87
783,12462.4,13023.43
560,11642.55,12520.56
835,11777.23,12471.09
998,11819.29,12904.01
288,12213.54,12642.19
653,11717.12,12555.92
511,11723.83,12542.94
282,11691.87,12618.51
11,11939.2,13119.85
865,11842.01,12583.97
643,11546.19,12279.98
504,11724.85,12570.21
85,11582.31,12256.36
331,11688.93,12668.03
442,11928.74,12745.84
877,11659.57,12647.41
170,11700.56,12134.01
629,11631.74,12345.79
805,11727.15,12542.43
572,11920.07,12729.7
311,11864.56,12896.58
556,11484.12,12249.72
8,11874.73,12587.39
73,11444.35,12383.94
896,11785.26,12507.52
935,11758.91,12427.26
932,11698.89,12463.91
323,11943.09,12821.57
520,11749.77,12442.65
365,11688.62,12464.16
750,11738.48,12384.52
502,11800.55,12508.8
70,11671.02,12581.75
663,11641.63,12417.45
83,11695.93,12509.3
963,11727.27,12493.11
766,11644.4,12370.05
275,11892.32,12574.72
330,11589.9,12242.76
388,11505.54,12376.08
221,12177.63,12990.38
210,11871.48,12464.6
598,11787.89,12508.99
174,11870.65,12606.95
265,11802.72,12520.18
219,11732.7,12593.9
531,11458.34,12224.49
893,11516.66,12354.59
441,11858.97,12824.03
962,12002.45,12777.44
433,12233.12,12530.57
842,11829.85,12541.62
566,11730.96,12497.67
564,11943.94,12788.94
895,11637.98,12377.12
887,11985.06,12888.63
580,11976.56,12408.94
213,11879.7,12424.63
118,11843.4,12489.08
2,12182.74,12613.17
921,11910.11,12477.98
647,11665.75,12253.1
733,11749.22,12359.69
348,11987.23,12997.08
197,11935.66,12923.94
712,11927.1,12658.11
759,11607.28,12439.55
470,11669.5,12377.06
344,11880.87,12778.32
927,11829.29,12413.25
179,11892.77,12653.08
969,11672.3,12364.04
807,11721.89,12506.16
176,11964.3,12794.23
668,11682.9,12667.04
153,11638.69,12311.27
665,11535.37,12293.63
522,11747.47,12648.98
692,11825.27,12566.59
995,11748.51,12605.27
106,11538.5,12407.72
435,11829.01,12589.05
225,11826.05,12482.1
757,11986.88,12986.45
735,11787.05,12690.49
765,11939.75,12648.3
968,11884.09,12574.46
125,11815.62,12502.28
484,11907.66,12544.83
989,11942.36,12693.96
993,11701.08,12277.65
583,11746.4,12476.68
726,11800.6,12749.06
482,11798.37,12838.99
676,11705.46,12409.91
720,12034.78,12431.92
80,11861.29,12838.62
821,11723.0,12546.38
112,11797.9,12277.2
638,11961.69,12562.73
99,11796.18,12903.78
829,11749.83,12476.85
268,11867.79,12702.3
650,11883.14,12597.7
