sid,BUFF,NOT,AND,PI,PO,LP
599,937,1875,20038,683,529,21
979,990,1981,20428,683,529,20
400,732,1465,18442,683,529,19
894,856,1713,19819,683,529,18
717,877,1755,20982,683,529,21
671,897,1795,20658,683,529,21
641,890,1780,18115,683,529,19
325,923,1847,19934,683,529,21
669,874,1748,19022,683,529,19
166,947,1894,19502,683,529,20
710,852,1704,18375,683,529,20
117,858,1717,20865,683,529,21
445,874,1749,19164,683,529,19
436,869,1738,21309,683,529,20
489,871,1743,20279,683,529,19
427,766,1532,18908,683,529,19
706,959,1918,18479,683,529,20
84,864,1729,18813,683,529,20
727,934,1869,17810,683,529,21
61,933,1866,19602,683,529,20
794,824,1649,19159,683,529,19
680,903,1806,18923,683,529,21
973,1051,2103,19356,683,529,20
307,865,1730,19780,683,529,19
402,948,1896,18427,683,529,20
382,798,1597,18437,683,529,19
808,867,1734,19360,683,529,19
697,845,1691,18875,683,529,21
346,872,1745,19600,683,529,20
245,788,1577,19657,683,529,20
408,1138,2277,20262,683,529,19
939,853,1707,20130,683,529,20
880,888,1777,20805,683,529,20
991,776,1552,18540,683,529,19
615,870,1741,20736,683,529,21
901,893,1787,18175,683,529,19
406,909,1818,19218,683,529,20
548,846,1693,18503,683,529,19
972,936,1872,19904,683,529,19
618,754,1509,17593,683,529,19
54,1019,2039,20161,683,529,21
838,911,1823,18484,683,529,20
396,928,1856,19761,683,529,20
558,1033,2066,19150,683,529,20
355,790,1581,19614,683,529,20
696,795,1590,18786,683,529,19
607,953,1907,19830,683,529,20
414,1029,2059,20064,683,529,21
181,861,1723,19518,683,529,19
279,743,1486,18330,683,529,20
447,796,1593,19725,683,529,20
646,996,1992,20928,683,529,20
169,853,1707,18993,683,529,20
190,790,1580,19157,683,529,19
910,1190,2381,20768,683,529,20
252,837,1675,18677,683,529,19
707,1007,2014,19956,683,529,20
936,876,1753,20743,683,529,20
524,770,1541,20303,683,529,19
542,862,1725,20599,683,529,20
874,893,1787,18158,683,529,19
529,1149,2299,21016,683,529,20
64,974,1948,19679,683,529,19
585,1023,2046,20325,683,529,20
448,776,1552,19352,683,529,20
393,795,1591,18079,683,529,19
59,847,1695,19378,683,529,21
313,957,1914,18949,683,529,19
594,738,1477,18495,683,529,19
841,763,1527,18470,683,529,20
271,816,1633,18338,683,529,20
290,834,1669,18307,683,529,19
541,1057,2115,19315,683,529,20
392,831,1663,19860,683,529,20
683,897,1795,18491,683,529,20
892,892,1784,18297,683,529,20
492,874,1749,19189,683,529,19
421,782,1564,19331,683,529,20
600,1035,2071,21033,683,529,20
983,897,1795,18979,683,529,19
649,873,1747,18606,683,529,19
718,930,1861,19466,683,529,19
345,802,1605,19206,683,529,20
788,817,1635,20756,683,529,21
89,905,1810,18699,683,529,20
262,877,1754,19662,683,529,19
37,955,1911,19557,683,529,20
264,901,1803,18223,683,529,19
760,956,1912,20022,683,529,19
186,768,1536,18986,683,529,20
418,940,1881,19256,683,529,22
209,1111,2223,20873,683,529,20
748,956,1913,19665,683,529,20
481,1010,2020,18995,683,529,19
360,891,1782,20586,683,529,21
951,985,1971,18589,683,529,20
326,905,1811,19098,683,529,20
562,973,1947,18697,683,529,20
184,897,1794,18836,683,529,19
422,918,1836,19960,683,529,19
940,953,1906,19835,683,529,19
790,939,1879,18966,683,529,21
34,860,1721,17825,683,529,20
