sid,BUFF,NOT,AND,PI,PO,LP
894,1359,2718,32120,1975,1805,32
717,1634,3269,33452,1975,1805,32
710,1897,3794,33550,1975,1805,32
166,1815,3630,33523,1975,1805,32
599,1609,3219,33148,1975,1805,33
641,1688,3377,32200,1975,1805,33
400,1453,2907,32574,1975,1805,32
669,1651,3302,31877,1975,1805,32
117,1549,3099,32331,1975,1805,33
979,1891,3783,33687,1975,1805,32
671,1872,3745,33397,1975,1805,33
325,1525,3050,33454,1975,1805,34
436,1544,3089,32852,1975,1805,33
489,1814,3629,32860,1975,1805,33
706,1606,3213,33219,1975,1805,33
61,1791,3583,33421,1975,1805,32
727,1513,3027,33515,1975,1805,32
84,1521,3042,32244,1975,1805,32
794,1529,3058,32586,1975,1805,32
427,1507,3014,33003,1975,1805,32
445,1701,3403,32619,1975,1805,32
680,1592,3185,33004,1975,1805,33
973,1966,3933,34022,1975,1805,33
808,1637,3274,33595,1975,1805,32
307,1822,3644,33285,1975,1805,32
382,1456,2912,32485,1975,1805,31
697,1571,3142,32442,1975,1805,33
402,1604,3209,33446,1975,1805,32
245,1392,2785,32030,1975,1805,33
408,1918,3837,33250,1975,1805,33
939,1604,3209,32111,1975,1805,33
880,1608,3216,32560,1975,1805,33
346,1850,3700,33258,1975,1805,32
972,1465,2931,31717,1975,1805,32
615,1659,3318,32662,1975,1805,32
406,1651,3302,33009,1975,1805,33
901,1671,3342,32672,1975,1805,33
991,1564,3128,32807,1975,1805,31
618,1435,2870,32092,1975,1805,32
54,1866,3732,33571,1975,1805,33
396,1920,3840,33604,1975,1805,33
355,1170,2340,31880,1975,1805,32
548,1765,3531,32937,1975,1805,32
838,1831,3662,32865,1975,1805,32
414,1757,3514,33064,1975,1805,33
558,1890,3780,34064,1975,1805,32
646,1540,3081,33280,1975,1805,33
607,1701,3403,32818,1975,1805,33
181,1868,3737,33901,1975,1805,32
696,1581,3162,33347,1975,1805,32
279,1423,2847,32794,1975,1805,32
190,1660,3321,32987,1975,1805,33
169,1484,2969,33098,1975,1805,31
447,1155,2311,31920,1975,1805,33
