sid,BUFF,NOT,AND,PI,PO,LP
671,32,64,602,26,11,13
599,27,54,616,26,11,12
166,36,72,572,26,11,13
641,31,63,591,26,11,13
710,28,56,587,26,11,13
894,32,64,605,26,11,11
325,35,71,583,26,11,13
117,33,67,634,26,11,13
400,36,72,632,26,11,14
669,29,58,574,26,11,13
979,31,62,571,26,11,14
717,26,53,608,26,11,13
706,27,55,583,26,11,14
436,28,57,622,26,11,13
427,31,63,641,26,11,12
727,25,50,578,26,11,12
84,32,65,597,26,11,14
445,36,73,637,26,11,13
61,29,59,583,26,11,13
794,29,59,588,26,11,13
973,34,68,595,26,11,13
382,26,52,601,26,11,12
697,33,66,588,26,11,13
307,38,76,679,26,11,15
489,31,63,613,26,11,12
680,31,63,607,26,11,13
808,31,62,585,26,11,12
615,30,60,607,26,11,14
402,31,62,582,26,11,13
408,29,59,578,26,11,14
245,34,69,698,26,11,12
346,35,70,631,26,11,13
991,31,62,618,26,11,12
880,28,57,629,26,11,13
939,34,69,625,26,11,13
901,33,66,572,26,11,13
406,31,62,565,26,11,13
972,31,63,611,26,11,12
618,38,76,632,26,11,12
696,34,68,606,26,11,12
548,34,68,635,26,11,15
54,30,61,565,26,11,13
396,36,72,589,26,11,13
355,33,67,612,26,11,13
838,28,56,578,26,11,13
558,33,66,588,26,11,13
279,38,76,624,26,11,12
646,31,62,604,26,11,13
181,33,66,610,26,11,12
414,29,59,598,26,11,13
607,32,64,640,26,11,15
447,31,62,614,26,11,13
252,25,51,609,26,11,12
169,34,68,604,26,11,12
190,34,68,626,26,11,14
910,34,68,605,26,11,12
707,31,62,594,26,11,13
936,30,60,564,26,11,13
529,37,74,684,26,11,13
64,32,64,571,26,11,12
542,29,59,572,26,11,13
585,29,58,565,26,11,13
524,34,69,711,26,11,13
448,37,74,611,26,11,12
393,38,76,640,26,11,12
313,34,68,579,26,11,13
59,32,65,580,26,11,12
874,27,54,577,26,11,13
841,34,69,625,26,11,12
271,33,66,590,26,11,12
541,30,61,578,26,11,13
594,26,52,616,26,11,11
492,41,83,712,26,11,12
392,30,60,590,26,11,13
290,28,57,567,26,11,12
983,29,59,590,26,11,12
683,32,64,591,26,11,13
892,31,62,555,26,11,12
600,32,64,571,26,11,13
421,38,76,603,26,11,12
718,33,67,597,26,11,12
186,34,69,606,26,11,12
345,35,71,612,26,11,12
264,32,64,571,26,11,12
788,31,63,604,26,11,13
649,30,61,586,26,11,13
418,26,53,600,26,11,12
89,27,55,591,26,11,13
37,29,58,602,26,11,13
748,41,83,682,26,11,14
262,33,67,621,26,11,12
760,36,72,671,26,11,12
481,35,70,559,26,11,13
209,33,67,632,26,11,12
951,34,68,551,26,11,12
360,32,64,582,26,11,13
562,33,67,559,26,11,12
326,34,68,583,26,11,12
790,30,60,571,26,11,13
422,27,54,620,26,11,12
762,29,58,567,26,11,13
184,30,61,588,26,11,12
940,28,57,588,26,11,13
660,36,73,584,26,11,13
834,40,80,669,26,11,12
34,26,52,562,26,11,12
5,29,58,589,26,11,13
518,28,57,587,26,11,13
366,31,63,594,26,11,13
772,30,61,602,26,11,12
515,32,65,598,26,11,14
465,28,57,570,26,11,12
