sid,BUFF,NOT,AND,PI,PO,LP
400,192,384,2336,32,32,59
669,183,366,2300,32,32,59
117,213,427,2855,32,32,67
166,172,345,2315,32,32,60
641,182,365,2311,32,32,58
979,190,381,2287,32,32,59
717,225,450,2954,32,32,67
894,172,345,2315,32,32,60
436,225,450,2954,32,32,67
710,194,388,2386,32,32,61
427,192,384,2336,32,32,59
489,180,361,2296,32,32,59
599,225,450,2954,32,32,67
61,184,369,2293,32,32,58
325,225,450,2954,32,32,67
84,183,367,2305,32,32,59
794,172,345,2315,32,32,60
671,213,427,2855,32,32,67
307,199,399,2349,32,32,60
382,184,369,2292,32,32,58
245,190,381,2287,32,32,59
445,184,368,2292,32,32,57
973,188,377,2304,32,32,58
680,213,427,2855,32,32,67
346,199,399,2349,32,32,60
697,213,427,2855,32,32,67
408,199,399,2359,32,32,58
901,172,345,2315,32,32,60
808,175,351,2307,32,32,60
991,189,379,2313,32,32,59
706,225,450,2954,32,32,67
880,213,427,2855,32,32,67
939,213,427,2855,32,32,67
727,225,450,2954,32,32,67
615,213,427,2855,32,32,67
402,225,450,2954,32,32,67
618,190,380,2334,32,32,60
548,190,380,2334,32,32,60
972,183,367,2298,32,32,60
396,194,388,2386,32,32,61
558,182,365,2294,32,32,60
279,185,370,2290,32,32,59
838,182,364,2287,32,32,59
54,194,388,2386,32,32,61
406,172,345,2315,32,32,60
607,184,368,2292,32,32,57
355,225,450,2954,32,32,67
190,192,384,2336,32,32,59
181,194,388,2386,32,32,61
696,182,365,2292,32,32,59
414,213,427,2855,32,32,67
910,188,376,2329,32,32,58
169,186,372,2303,32,32,61
646,194,388,2386,32,32,61
707,199,399,2359,32,32,58
524,199,399,2349,32,32,60
529,199,399,2341,32,32,59
252,190,380,2334,32,32,60
447,225,450,2954,32,32,67
448,192,384,2336,32,32,59
585,172,345,2315,32,32,60
393,190,380,2334,32,32,60
936,213,427,2855,32,32,67
542,213,427,2855,32,32,67
841,192,384,2336,32,32,59
64,194,388,2386,32,32,61
271,183,367,2298,32,32,60
59,213,427,2855,32,32,67
594,183,367,2298,32,32,60
874,172,345,2315,32,32,60
492,202,404,2363,32,32,59
313,194,388,2386,32,32,61
541,172,345,2315,32,32,60
600,186,373,2332,32,32,59
392,172,345,2315,32,32,60
683,184,369,2293,32,32,58
421,186,373,2294,32,32,59
983,190,380,2334,32,32,60
290,172,345,2315,32,32,60
718,183,367,2305,32,32,59
186,199,399,2349,32,32,60
892,182,364,2306,32,32,60
345,213,427,2855,32,32,67
262,186,372,2295,32,32,58
748,198,397,2317,32,32,58
788,213,427,2855,32,32,67
37,186,373,2332,32,32,59
760,199,399,2359,32,32,58
89,183,367,2298,32,32,60
649,172,345,2315,32,32,60
209,185,371,2299,32,32,59
264,183,367,2298,32,32,60
418,213,427,2855,32,32,67
422,182,364,2267,32,32,58
762,186,373,2332,32,32,59
326,172,345,2315,32,32,60
360,213,427,2855,32,32,67
184,183,367,2298,32,32,60
834,192,384,2336,32,32,59
660,190,380,2334,32,32,60
481,186,373,2332,32,32,59
951,186,373,2332,32,32,59
5,183,367,2298,32,32,60
940,172,345,2315,32,32,60
790,194,388,2386,32,32,61
34,213,427,2855,32,32,67
949,190,381,2287,32,32,59
366,190,380,2334,32,32,60
916,172,345,2315,32,32,60
164,190,380,2334,32,32,60
562,172,345,2315,32,32,60
818,184,369,2293,32,32,58
518,213,427,2855,32,32,67
370,190,380,2334,32,32,60
465,183,366,2300,32,32,59
984,199,399,2349,32,32,60
772,213,427,2855,32,32,67
741,213,427,2855,32,32,67
604,194,388,2386,32,32,61
515,213,427,2855,32,32,67
624,183,367,2298,32,32,60
