sid,BUFF,NOT,AND,PI,PO,LP
894,123,246,3418,303,64,21
325,122,245,3408,303,64,21
979,140,281,3330,303,64,21
599,122,245,3367,303,64,21
671,120,241,3467,303,64,21
400,136,272,3325,303,64,21
166,93,186,3343,303,64,21
117,124,248,3231,303,64,21
669,125,250,3397,303,64,21
641,118,236,3279,303,64,21
717,112,225,3238,303,64,21
710,128,257,3329,303,64,21
436,96,193,3449,303,64,21
706,118,236,3310,303,64,21
427,127,255,3312,303,64,21
84,124,249,3319,303,64,21
727,122,244,3379,303,64,21
489,138,276,3308,303,64,21
794,126,252,3409,303,64,21
61,90,180,3370,303,64,21
445,120,241,3270,303,64,21
680,130,261,3301,303,64,21
307,192,384,4351,303,64,22
697,119,238,3325,303,64,21
973,145,290,3463,303,64,22
382,92,184,3283,303,64,21
808,134,268,3398,303,64,21
402,120,241,3379,303,64,21
408,129,259,3296,303,64,21
245,156,313,4467,303,64,21
939,130,261,3355,303,64,21
880,124,248,3276,303,64,21
901,127,254,3370,303,64,21
346,140,280,3327,303,64,21
615,120,241,3476,303,64,21
548,127,254,3462,303,64,21
991,119,239,3451,303,64,21
406,131,263,3385,303,64,21
618,119,239,3317,303,64,21
396,89,179,3350,303,64,21
972,122,245,3416,303,64,21
54,93,187,3359,303,64,21
355,110,220,3285,303,64,21
838,128,256,3245,303,64,21
558,100,200,3335,303,64,21
696,116,233,3297,303,64,21
646,98,197,3303,303,64,21
414,127,254,3440,303,64,21
607,134,269,3334,303,64,21
181,106,213,3342,303,64,21
447,110,220,3285,303,64,21
279,97,195,3374,303,64,21
190,129,258,3293,303,64,21
169,93,186,3274,303,64,21
910,125,251,3231,303,64,21
707,134,269,3289,303,64,21
252,122,245,3473,303,64,21
936,121,243,3469,303,64,21
542,120,240,3458,303,64,21
524,154,308,4339,303,64,21
64,109,218,3280,303,64,21
529,177,355,4228,303,64,22
448,124,249,3267,303,64,21
585,92,184,3313,303,64,21
393,115,230,3333,303,64,21
841,118,237,3267,303,64,21
313,124,249,3360,303,64,21
59,139,279,3354,303,64,21
874,126,252,3315,303,64,21
271,117,235,3453,303,64,21
594,124,248,3352,303,64,21
290,118,237,3392,303,64,21
541,108,216,3418,303,64,21
392,130,260,3418,303,64,21
892,120,241,3327,303,64,21
492,160,321,4581,303,64,21
683,109,219,3308,303,64,21
983,121,243,3486,303,64,21
600,93,187,3377,303,64,21
421,134,269,3367,303,64,21
186,135,270,3346,303,64,21
