sid,BUFF,NOT,AND,PI,PO,LP
717,6940,13880,150744,37597,37417,30
117,6938,13876,149297,37597,37417,31
400,7260,14520,142379,37597,37417,32
166,11760,23521,157643,37597,37417,30
669,5136,10272,133739,37597,37417,30
894,11657,23315,147358,37597,37417,30
599,12027,24055,147932,37597,37417,30
325,11874,23748,148352,37597,37417,31
979,7587,15174,144444,37597,37417,31
671,11959,23919,148040,37597,37417,29
641,5985,11971,135181,37597,37417,30
710,11729,23459,160351,37597,37417,30
489,7574,15149,142108,37597,37417,31
436,11826,23652,148647,37597,37417,29
84,5025,10050,132478,37597,37417,30
427,7285,14571,143309,37597,37417,31
794,11673,23346,147645,37597,37417,31
307,7913,15827,144766,37597,37417,31
61,7297,14594,140608,37597,37417,33
445,7591,15182,141576,37597,37417,30
973,7454,14908,143147,37597,37417,31
706,11915,23831,160435,37597,37417,31
727,11886,23773,160931,37597,37417,30
680,11850,23700,159803,37597,37417,30
382,7544,15089,141020,37597,37417,31
697,11935,23870,147498,37597,37417,30
245,7200,14400,142992,37597,37417,30
408,7517,15035,143567,37597,37417,31
808,11781,23562,158448,37597,37417,31
402,11918,23837,148475,37597,37417,31
346,7925,15851,144557,37597,37417,31
939,11993,23987,146919,37597,37417,31
880,6990,13981,150537,37597,37417,30
991,4940,9880,133284,37597,37417,30
901,11728,23457,147846,37597,37417,31
615,11930,23861,148492,37597,37417,30
355,11974,23948,147993,37597,37417,31
406,11749,23499,147684,37597,37417,32
972,4967,9934,132248,37597,37417,31
396,11695,23391,157982,37597,37417,31
618,4746,9492,131655,37597,37417,31
54,11748,23496,157723,37597,37417,31
548,6350,12701,135309,37597,37417,30
607,7435,14870,143742,37597,37417,30
414,11876,23753,159939,37597,37417,30
838,7617,15235,143669,37597,37417,30
558,7223,14446,142676,37597,37417,30
279,7155,14310,142681,37597,37417,29
646,11706,23413,158266,37597,37417,31
181,11793,23587,158226,37597,37417,31
190,7586,15172,143963,37597,37417,31
696,4853,9707,129900,37597,37417,31
447,11972,23945,147997,37597,37417,31
169,7299,14598,142247,37597,37417,30
252,5264,10529,133105,37597,37417,31
910,7395,14790,143923,37597,37417,30
524,7363,14727,143381,37597,37417,31
707,7507,15015,143239,37597,37417,29
542,11837,23674,147764,37597,37417,30
936,11861,23722,147362,37597,37417,30
529,7137,14275,142754,37597,37417,30
585,11689,23379,157487,37597,37417,30
448,7423,14846,142640,37597,37417,31
64,11759,23518,158608,37597,37417,31
393,4771,9543,131902,37597,37417,31
59,12001,24002,159153,37597,37417,30
874,11586,23172,147010,37597,37417,31
841,7252,14505,142182,37597,37417,31
594,4758,9516,130503,37597,37417,32
271,5179,10358,132282,37597,37417,31
313,11978,23956,159568,37597,37417,31
541,11781,23562,158180,37597,37417,30
290,11979,23958,148424,37597,37417,30
421,7356,14712,142631,37597,37417,30
492,7239,14479,144585,37597,37417,30
392,11635,23271,147793,37597,37417,31
600,11639,23278,157637,37597,37417,30
892,12026,24052,149087,37597,37417,30
683,7426,14852,142674,37597,37417,30
983,5136,10272,132417,37597,37417,31
345,12016,24033,147373,37597,37417,30
