sid,BUFF,NOT,AND,PI,PO,LP
117,9458,18917,167675,256,128,16237
717,9459,18918,167579,256,128,16237
325,9480,18960,167227,256,128,16234
599,9437,18875,167140,256,128,16231
166,4482,8965,146580,256,128,16208
671,9479,18958,167226,256,128,16234
400,9514,19028,167425,256,128,16262
436,9452,18904,167263,256,128,16233
894,9433,18867,166617,256,128,16270
710,8927,17854,164351,256,128,16256
669,4885,9771,148633,256,128,16168
979,7880,15761,162085,256,128,16223
706,9481,18962,167226,256,128,16232
794,8743,17487,164769,256,128,16273
427,9698,19397,168424,256,128,16252
641,4631,9263,147773,256,128,16211
680,9475,18950,167680,256,128,16232
727,9486,18973,167661,256,128,16241
307,9508,19017,166721,256,128,16262
489,8138,16277,163231,256,128,16213
61,9083,18166,166742,256,128,16242
697,9406,18813,167475,256,128,16234
445,9737,19474,166639,256,128,16222
939,9358,18716,167368,256,128,16234
402,9448,18897,167132,256,128,16241
973,9045,18091,164717,256,128,16242
84,4670,9341,147158,256,128,16203
245,9418,18836,167961,256,128,16212
808,9548,19097,167324,256,128,16270
880,9467,18935,167628,256,128,16237
615,9450,18900,167134,256,128,16233
346,8996,17992,164469,256,128,16262
382,9601,19203,167334,256,128,16216
901,8864,17728,163997,256,128,16270
408,4956,9912,148223,256,128,16219
355,9366,18732,167336,256,128,16234
54,9514,19029,165545,256,128,16256
396,8950,17901,164485,256,128,16252
618,9397,18795,167358,256,128,16269
406,8896,17793,164090,256,128,16271
972,9532,19065,167178,256,128,16276
548,11484,22969,169017,256,128,16235
414,9467,18935,167617,256,128,16234
447,9365,18731,167312,256,128,16234
991,9747,19494,168741,256,128,16229
646,9604,19208,167281,256,128,16257
607,4155,8310,146342,256,128,16187
558,9145,18291,165050,256,128,16237
181,4745,9491,147230,256,128,16220
279,3986,7973,145957,256,128,16232
190,9680,19361,168377,256,128,16252
838,7630,15260,162009,256,128,16220
696,8818,17637,165205,256,128,16204
936,9520,19041,167741,256,128,16234
252,9494,18989,167363,256,128,16240
542,9476,18952,167651,256,128,16234
524,9793,19586,169256,256,128,16262
910,9551,19103,165792,256,128,16274
64,4486,8973,146727,256,128,16208
585,9520,19040,165339,256,128,16256
169,11899,23799,169340,256,128,16173
707,9219,18438,165135,256,128,16243
59,9513,19027,167700,256,128,16232
448,9509,19018,167461,256,128,16262
393,9412,18825,167450,256,128,16269
841,9680,19360,168323,256,128,16252
313,4492,8984,146761,256,128,16208
874,9486,18972,165243,256,128,16271
271,9605,19210,167971,256,128,16241
594,9644,19289,168435,256,128,16240
541,4535,9071,147223,256,128,16225
392,9483,18966,165251,256,128,16270
529,9474,18949,168109,256,128,16213
290,9477,18955,166908,256,128,16270
345,9370,18740,167382,256,128,16234
788,9503,19006,167742,256,128,16238
186,9068,18137,166306,256,128,16263
983,9619,19239,167995,256,128,16241
492,9517,19034,168428,256,128,16266
600,9131,18262,166049,256,128,16207
421,9104,18208,165900,256,128,16181
892,8739,17479,165028,256,128,16209
683,9242,18484,167176,256,128,16235
89,9589,19178,166412,256,128,16246
418,9480,18961,167624,256,128,16232
264,9122,18244,164870,256,128,16238
649,9094,18188,166663,256,128,16240
360,9519,19039,167757,256,128,16234
262,8235,16470,162963,256,128,16225
718,9595,19190,167450,256,128,16274
326,8870,17740,164013,256,128,16270
37,9049,18099,165944,256,128,16209
748,9675,19350,167214,256,128,16242
184,9577,19155,168012,256,128,16241
760,9506,19013,166891,256,128,16276
209,9354,18709,166050,256,128,16207
481,9211,18422,165543,256,128,16218
422,8114,16228,163234,256,128,16205
951,10035,20071,167830,256,128,16177
34,9489,18978,167653,256,128,16232
790,9505,19011,165501,256,128,16256
762,8859,17719,164543,256,128,16209
940,8850,17701,164020,256,128,16270
518,9407,18814,167443,256,128,16234
834,9595,19191,167692,256,128,16250
660,9294,18588,164988,256,128,16270
562,4505,9011,147064,256,128,16224
366,9347,18694,164283,256,128,16271
5,9413,18827,167067,256,128,16269
515,9481,18962,167627,256,128,16244
772,9406,18812,167419,256,128,16234
916,9031,18062,165920,256,128,16258
741,9504,19009,167723,256,128,16238
164,9121,18242,164878,256,128,16241
370,9312,18625,165045,256,128,16270
949,9024,18048,165842,256,128,16211
984,9555,19111,168482,256,128,16263
604,5797,11594,149284,256,128,16219
873,8937,17874,164371,256,128,16256
465,10542,21084,168516,256,128,16181
818,9010,18021,165019,256,128,16241
988,9021,18042,165934,256,128,16262
624,9628,19257,168009,256,128,16242
525,9364,18728,167347,256,128,16234
162,9475,18950,167667,256,128,16234
487,9475,18950,167626,256,128,16232
71,11837,23675,169153,256,128,16170
777,9051,18102,165780,256,128,16220
300,9117,18234,164862,256,128,16241
132,9357,18714,167374,256,128,16234
666,9577,19155,167946,256,128,16242
362,8916,17832,164343,256,128,16214
237,8844,17689,165490,256,128,16215
145,9125,18250,166183,256,128,16177
238,9230,18460,166318,256,128,16184
658,9371,18742,164371,256,128,16271
667,8894,17789,164076,256,128,16256
453,9178,18356,165531,256,128,16174
19,9544,19089,168804,256,128,16237
216,8959,17918,164264,256,128,16262
565,9534,19069,165671,256,128,16256
621,3470,6940,144901,256,128,16223
428,3637,7275,145196,256,128,16193
573,9558,19117,167221,256,128,16255
312,9147,18295,166752,256,128,16242
86,9575,19151,167959,256,128,16241
970,9406,18813,167365,256,128,16269
644,9488,18976,168085,256,128,16211
505,9406,18813,167486,256,128,16234
410,9117,18235,164858,256,128,16241
446,9500,19001,167711,256,128,16238
107,9484,18968,167657,256,128,16232
527,11055,22111,167395,256,128,16224
606,9480,18961,167641,256,128,16232
327,9440,18881,167183,256,128,16233
457,5114,10228,149580,256,128,16195
206,9069,18139,164844,256,128,16243
240,9476,18953,167619,256,128,16232
628,9516,19032,165561,256,128,16256
975,9014,18029,166099,256,128,16263
911,9416,18832,167162,256,128,16269
980,9623,19247,166974,256,128,16181
363,9576,19152,166133,256,128,16233
147,9476,18952,167590,256,128,16244
974,4828,9657,148573,256,128,16188
123,9676,19353,168315,256,128,16252
434,9456,18913,167611,256,128,16237
905,9518,19037,167705,256,128,16234
918,8943,17887,164239,256,128,16256
224,5095,10190,148178,256,128,16207
498,9504,19009,167691,256,128,16238
15,9485,18971,167236,256,128,16234
771,9503,19007,167724,256,128,16238
334,9626,19253,168328,256,128,16240
990,9321,18642,165091,256,128,16270
775,8919,17839,164165,256,128,16256
333,9550,19101,167477,256,128,16255
832,9676,19352,167543,256,128,16183
922,8841,17683,164138,256,128,16263
497,9264,18528,168132,256,128,16227
336,9508,19016,165813,256,128,16240
960,9580,19161,167994,256,128,16242
862,9366,18733,167404,256,128,16234
958,4483,8967,146906,256,128,16223
593,8979,17959,164689,256,128,16263
695,9458,18917,167676,256,128,16237
567,9470,18940,167583,256,128,16232
283,9400,18801,167452,256,128,16234
851,5052,10105,147714,256,128,16207
343,9514,19028,167721,256,128,16234
90,9518,19036,166730,256,128,16262
904,3970,7941,145802,256,128,16197
509,5175,10350,147956,256,128,16222
533,9122,18245,165035,256,128,16265
102,9675,19350,168291,256,128,16252
699,9189,18379,166601,256,128,16240
906,7873,15746,161867,256,128,16221
485,9528,19057,165621,256,128,16256
320,9407,18815,167467,256,128,16234
678,8914,17829,165626,256,128,16212
849,9495,18991,166227,256,128,16224
872,9473,18946,167614,256,128,16232
60,5068,10137,148005,256,128,16207
475,9090,18181,165315,256,128,16174
372,3981,7963,147700,256,128,16233
879,9593,19186,166404,256,128,16242
291,9365,18731,167364,256,128,16234
473,8283,16567,163000,256,128,16223
13,9434,18868,167156,256,128,16237
861,5062,10125,147977,256,128,16205
25,9573,19147,166027,256,128,16250
837,9369,18738,167436,256,128,16234
109,9369,18738,167435,256,128,16234
754,11518,23037,169438,256,128,16242
555,9195,18390,164963,256,128,16265
211,9674,19348,167506,256,128,16183
500,9571,19142,167384,256,128,16255
369,9069,18138,164869,256,128,16240
168,11331,22662,169391,256,128,16233
797,4963,9927,147420,256,128,16185
796,11462,22925,167848,256,128,16234
430,11779,23558,168896,256,128,16170
351,9708,19417,169408,256,128,16251
749,9087,18174,165673,256,128,16172
928,8979,17958,164765,256,128,16207
352,9764,19528,167506,256,128,16261
611,5053,10106,147714,256,128,16207
474,9101,18203,165312,256,128,16241
867,9545,19090,165703,256,128,16276
0,9665,19330,168234,256,128,16252
69,9587,19175,166391,256,128,16240
36,5086,10172,148115,256,128,16207
595,3581,7162,145937,256,128,16189
705,9420,18840,167966,256,128,16212
494,9183,18366,165574,256,128,16174
229,9647,19294,168114,256,128,16243
276,9588,19177,166427,256,128,16241
813,4390,8780,147444,256,128,16210
137,9658,19316,168214,256,128,16252
46,4020,8041,146061,256,128,16230
310,9071,18142,164727,256,128,16220
610,7712,15425,161538,256,128,16210
776,9696,19392,169329,256,128,16251
144,9142,18284,165181,256,128,16252
342,3873,7746,146313,256,128,16189
941,9480,18961,167640,256,128,16232
367,9518,19037,167703,256,128,16234
296,8977,17955,164548,256,128,16256
519,7821,15643,161713,256,128,16220
226,9514,19028,167721,256,128,16234
134,9456,18912,167017,256,128,16262
915,4517,9035,147047,256,128,16163
885,9656,19312,167855,256,128,16274
161,9002,18004,165926,256,128,16262
214,9369,18738,167435,256,128,16234
545,9138,18276,164987,256,128,16243
745,3764,7529,145671,256,128,16185
185,4058,8117,145843,256,128,16209
415,9541,19082,166393,256,128,16185
304,8974,17948,164998,256,128,16241
148,9278,18557,166083,256,128,16222
780,9407,18814,167459,256,128,16234
694,5169,10339,148174,256,128,16221
281,9458,18917,167676,256,128,16237
43,9528,19057,165716,256,128,16256
722,9467,18935,167617,256,128,16234
232,9523,19047,167719,256,128,16234
444,9486,18972,167653,256,128,16232
113,8913,17827,165450,256,128,16205
100,3940,7881,146598,256,128,16163
588,9626,19252,167990,256,128,16242
926,4736,9472,147512,256,128,16198
827,9487,18975,167238,256,128,16244
496,9509,19019,166721,256,128,16262
514,9474,18949,167588,256,128,16231
140,9378,18757,165579,256,128,16270
551,10405,20810,168108,256,128,16180
423,4555,9111,147533,256,128,16225
364,10297,20595,168513,256,128,16243
670,9538,19076,168799,256,128,16237
996,9457,18915,167614,256,128,16237
198,9100,18200,166838,256,128,16237
495,4094,8189,147037,256,128,16197
200,9567,19135,165394,256,128,16262
897,11866,23733,169207,256,128,16173
703,9515,19030,167697,256,128,16232
103,9473,18947,167604,256,128,16232
274,9047,18094,166235,256,128,16264
141,8808,17616,163313,256,128,16269
459,9016,18033,165978,256,128,16257
623,9522,19045,167505,256,128,16262
114,9358,18717,167393,256,128,16234
260,9076,18152,165332,256,128,16222
739,9552,19105,166916,256,128,16180
690,9449,18898,167259,256,128,16237
709,9494,18989,166709,256,128,16262
961,9494,18989,165293,256,128,16270
721,9068,18136,164844,256,128,16239
284,9650,19300,168130,256,128,16242
965,9208,18417,165680,256,128,16172
44,9047,18095,165970,256,128,16176
385,9500,19001,167712,256,128,16238
824,9366,18732,164446,256,128,16272
52,4236,8473,146520,256,128,16221
942,9110,18221,164914,256,128,16240
27,4530,9061,147209,256,128,16225
863,9406,18812,167353,256,128,16269
952,9562,19125,165940,256,128,16250
815,9481,18963,167624,256,128,16232
516,9040,18080,166398,256,128,16238
244,8789,17578,165067,256,128,16270
75,9482,18964,167621,256,128,16232
439,9537,19075,166964,256,128,16270
616,5161,10323,148175,256,128,16222
464,9000,18000,164769,256,128,16206
688,9475,18950,167608,256,128,16244
395,10700,21401,165941,256,128,16172
167,9365,18730,167370,256,128,16234
716,9511,19023,167809,256,128,16238
50,9455,18911,167636,256,128,16237
898,8819,17639,165425,256,128,16270
547,9343,18687,168314,256,128,16221
79,9505,19010,165756,256,128,16238
309,9363,18726,167314,256,128,16234
285,9469,18938,167650,256,128,16234
467,9366,18732,165507,256,128,16270
914,10120,20241,165858,256,128,16225
640,3743,7487,146704,256,128,16212
116,9696,19392,169329,256,128,16251
66,9360,18720,167332,256,128,16234
42,9512,19024,165563,256,128,16256
662,4777,9555,148185,256,128,16167
389,9421,18843,167141,256,128,16269
597,9474,18949,167632,256,128,16242
472,4418,8836,146373,256,128,16195
959,9542,19084,165285,256,128,16261
479,9598,19196,166411,256,128,16242
907,9780,19560,169201,256,128,16254
672,9470,18940,165191,256,128,16270
508,9121,18243,165562,256,128,16216
752,9281,18562,166698,256,128,16244
189,9464,18929,167696,256,128,16237
449,4396,8792,146186,256,128,16185
253,9100,18200,165285,256,128,16245
919,9165,18330,165577,256,128,16225
239,9406,18812,167400,256,128,16269
478,9638,19277,166587,256,128,16251
21,5840,11680,149110,256,128,16207
49,10004,20009,167965,256,128,16173
68,9486,18973,165237,256,128,16270
589,4530,9060,146917,256,128,16208
512,9443,18887,167165,256,128,16233
929,4643,9287,147389,256,128,16186
193,8963,17926,164155,256,128,16261
380,9366,18733,167405,256,128,16234
217,9298,18596,164964,256,128,16270
633,9015,18031,166126,256,128,16263
468,9448,18897,167132,256,128,16241
17,9475,18951,167628,256,128,16232
943,8823,17647,163791,256,128,16178
82,4961,9923,147570,256,128,16192
878,9100,18200,166838,256,128,16237
411,9681,19363,166391,256,128,16261
159,9299,18598,166258,256,128,16202
10,9676,19352,168313,256,128,16252
839,9621,19242,168031,256,128,16241
111,5072,10144,148004,256,128,16207
270,9469,18938,167630,256,128,16234
738,7916,15832,161946,256,128,16221
802,9381,18763,164439,256,128,16273
3,9479,18959,167625,256,128,16232
568,9365,18731,167367,256,128,16234
803,9204,18409,166855,256,128,16249
373,9300,18601,165062,256,128,16270
903,9557,19114,165599,256,128,16260
561,9496,18992,165387,256,128,16270
152,9242,18484,167385,256,128,16234
452,9363,18727,167360,256,128,16234
390,9484,18969,167232,256,128,16244
31,9475,18951,167642,256,128,16234
868,4256,8512,147926,256,128,16185
685,9023,18047,166114,256,128,16275
381,9480,18961,167612,256,128,16234
976,9471,18942,167591,256,128,16232
659,9757,19514,167490,256,128,16261
947,9536,19073,166965,256,128,16270
783,9507,19014,167725,256,128,16238
530,7719,15439,161184,256,128,16206
93,4755,9511,147694,256,128,16197
143,9369,18739,167339,256,128,16234
560,8922,17844,164127,256,128,16256
648,8917,17835,164383,256,128,16232
288,9507,19014,167694,256,128,16238
321,3762,7524,145104,256,128,16191
511,9181,18362,166878,256,128,16242
835,9318,18636,168146,256,128,16212
998,5900,11800,148931,256,128,16218
865,9561,19122,165605,256,128,16262
653,4377,8755,146450,256,128,16205
643,9670,19340,168264,256,128,16252
85,3764,7529,145671,256,128,16185
504,9361,18722,167366,256,128,16234
282,9601,19202,166145,256,128,16278
11,4459,8919,146623,256,128,16201
170,9439,18879,167171,256,128,16233
331,4633,9266,147161,256,128,16202
805,9475,18950,167608,256,128,16244
8,9444,18888,167153,256,128,16233
442,8973,17946,165666,256,128,16207
572,8924,17848,164383,256,128,16256
629,9714,19428,166834,256,128,16224
311,4345,8690,147984,256,128,16192
