sid,BUFF,NOT,AND,PI,PO,LP
717,135,271,1434,257,224,24
894,129,258,1414,257,224,23
671,127,254,1344,257,224,23
166,140,281,1376,257,224,22
400,143,286,1396,257,224,22
710,141,283,1419,257,224,22
979,141,282,1342,257,224,22
669,134,268,1334,257,224,23
117,122,244,1350,257,224,23
325,137,274,1432,257,224,27
641,131,262,1334,257,224,22
599,128,257,1421,257,224,24
427,139,279,1375,257,224,23
489,145,291,1373,257,224,24
436,132,265,1420,257,224,24
706,132,264,1403,257,224,28
794,130,261,1393,257,224,24
61,137,275,1313,257,224,22
84,133,267,1316,257,224,24
727,145,290,1480,257,224,24
445,134,269,1343,257,224,22
973,145,290,1343,257,224,25
680,134,268,1380,257,224,23
307,136,273,1354,257,224,28
245,134,269,1357,257,224,24
808,134,269,1410,257,224,24
346,136,273,1314,257,224,28
382,137,275,1355,257,224,23
408,139,279,1319,257,224,26
697,126,253,1372,257,224,23
402,130,261,1395,257,224,26
880,133,266,1411,257,224,22
939,131,263,1406,257,224,23
901,134,269,1405,257,224,26
991,133,267,1350,257,224,21
615,134,269,1399,257,224,21
972,132,265,1364,257,224,22
406,130,261,1415,257,224,22
618,130,261,1360,257,224,24
54,139,278,1443,257,224,21
396,126,252,1322,257,224,21
838,130,260,1343,257,224,23
548,150,301,1378,257,224,25
355,137,275,1436,257,224,24
558,139,278,1337,257,224,25
279,139,278,1373,257,224,23
414,134,268,1393,257,224,24
607,140,281,1365,257,224,25
696,129,258,1347,257,224,22
181,134,268,1397,257,224,24
646,130,261,1386,257,224,23
190,140,280,1344,257,224,23
707,132,264,1368,257,224,22
169,146,293,1393,257,224,23
447,133,266,1428,257,224,24
524,139,279,1381,257,224,24
252,130,260,1369,257,224,21
910,138,277,1351,257,224,22
936,136,273,1411,257,224,23
542,128,257,1380,257,224,22
529,148,297,1383,257,224,23
585,124,248,1349,257,224,23
59,123,247,1352,257,224,23
874,131,263,1391,257,224,28
448,135,271,1376,257,224,23
64,134,269,1380,257,224,24
841,129,259,1337,257,224,23
393,138,276,1412,257,224,24
313,131,262,1396,257,224,23
271,135,271,1338,257,224,24
594,139,278,1387,257,224,23
541,126,252,1351,257,224,25
290,128,257,1392,257,224,22
492,143,287,1362,257,224,23
392,132,264,1399,257,224,25
421,139,278,1376,257,224,22
683,131,263,1345,257,224,21
345,127,254,1351,257,224,23
983,128,256,1373,257,224,24
600,127,255,1344,257,224,23
186,131,263,1380,257,224,22
892,140,281,1346,257,224,27
788,134,269,1401,257,224,22
718,137,275,1358,257,224,24
89,141,283,1377,257,224,24
418,133,266,1408,257,224,23
649,127,255,1385,257,224,22
264,137,275,1352,257,224,29
262,129,258,1353,257,224,22
209,137,274,1366,257,224,24
37,139,278,1367,257,224,23
748,132,264,1333,257,224,23
481,130,260,1320,257,224,25
360,121,242,1371,257,224,23
760,129,259,1370,257,224,22
326,135,271,1401,257,224,24
184,134,269,1397,257,224,22
422,140,280,1380,257,224,23
762,133,266,1372,257,224,23
940,130,260,1373,257,224,21
951,128,257,1321,257,224,27
790,130,261,1326,257,224,26
562,127,254,1361,257,224,27
34,127,255,1440,257,224,23
834,139,278,1368,257,224,22
5,133,267,1397,257,224,26
660,142,285,1338,257,224,28
366,135,271,1376,257,224,27
518,134,268,1392,257,224,21
949,137,275,1354,257,224,23
916,123,247,1396,257,224,21
515,134,269,1402,257,224,26
772,129,259,1373,257,224,21
465,135,270,1327,257,224,24
164,133,266,1356,257,224,23
818,139,278,1330,257,224,22
741,134,269,1371,257,224,23
604,139,279,1375,257,224,29
624,130,261,1360,257,224,25
370,138,277,1386,257,224,26
71,135,270,1404,257,224,22
984,131,262,1363,257,224,23
873,129,259,1350,257,224,27
988,128,257,1371,257,224,23
362,125,250,1322,257,224,25
777,136,272,1382,257,224,27
525,129,258,1363,257,224,22
487,130,260,1357,257,224,22
145,130,260,1360,257,224,21
162,128,257,1367,257,224,26
300,135,271,1351,257,224,28
237,134,269,1336,257,224,28
238,141,282,1380,257,224,25
666,136,272,1364,257,224,22
453,141,283,1336,257,224,27
132,122,244,1411,257,224,22
658,135,271,1365,257,224,28
621,126,252,1365,257,224,21
667,134,268,1330,257,224,23
527,140,281,1371,257,224,22
428,134,268,1389,257,224,21
216,134,269,1314,257,224,27
573,125,251,1395,257,224,22
19,139,278,1411,257,224,21
312,139,278,1407,257,224,21
86,129,258,1364,257,224,22
565,149,299,1386,257,224,22
644,141,282,1370,257,224,26
970,130,260,1383,257,224,23
363,137,274,1336,257,224,22
107,144,288,1455,257,224,24
505,124,249,1374,257,224,22
410,140,281,1371,257,224,24
628,137,275,1375,257,224,24
446,135,270,1432,257,224,25
980,134,268,1350,257,224,22
206,131,263,1360,257,224,21
457,139,279,1384,257,224,21
975,143,286,1364,257,224,21
606,131,262,1391,257,224,21
911,131,262,1375,257,224,24
974,152,305,1344,257,224,22
