sid,BUFF,NOT,AND,PI,PO,LP
671,41,83,692,177,128,8
117,49,98,713,177,128,9
717,51,103,704,177,128,9
325,40,81,704,177,128,8
894,47,95,706,177,128,8
166,53,106,658,177,128,8
669,47,95,694,177,128,9
641,45,91,696,177,128,9
979,62,125,672,177,128,9
400,50,100,677,177,128,9
710,63,126,678,177,128,8
599,42,84,710,177,128,9
427,54,108,675,177,128,9
436,44,88,714,177,128,8
489,57,115,669,177,128,9
706,44,89,703,177,128,9
680,44,88,682,177,128,9
61,63,126,680,177,128,9
84,48,97,694,177,128,9
794,51,102,711,177,128,9
973,64,129,655,177,128,9
307,59,119,670,177,128,9
727,45,91,696,177,128,8
445,50,101,659,177,128,9
808,42,85,710,177,128,8
402,40,80,692,177,128,9
939,51,102,702,177,128,8
245,56,113,707,177,128,9
382,54,108,691,177,128,9
697,45,90,699,177,128,8
880,53,106,697,177,128,9
346,65,130,661,177,128,9
901,44,89,688,177,128,8
408,60,121,659,177,128,9
991,46,93,679,177,128,9
615,40,81,686,177,128,8
406,47,94,698,177,128,8
548,54,109,712,177,128,9
618,55,110,703,177,128,9
972,51,102,732,177,128,9
396,56,113,659,177,128,8
54,58,117,675,177,128,8
355,41,82,699,177,128,8
558,62,125,641,177,128,9
838,59,119,690,177,128,9
607,47,94,657,177,128,9
279,64,128,653,177,128,9
414,44,89,712,177,128,8
447,41,83,699,177,128,8
696,52,105,696,177,128,9
181,55,111,652,177,128,8
910,59,118,677,177,128,9
646,55,110,666,177,128,8
169,56,112,682,177,128,9
252,51,102,701,177,128,9
542,46,93,703,177,128,9
707,56,113,656,177,128,9
190,54,108,640,177,128,9
936,41,83,686,177,128,8
524,58,116,675,177,128,9
529,49,98,676,177,128,8
64,55,111,649,177,128,9
393,53,106,720,177,128,9
585,54,108,665,177,128,8
448,50,101,672,177,128,9
59,42,85,688,177,128,8
874,43,87,709,177,128,9
594,49,99,700,177,128,9
541,55,110,670,177,128,10
841,46,92,663,177,128,9
313,56,113,671,177,128,9
271,48,96,691,177,128,9
392,46,93,704,177,128,8
600,54,109,670,177,128,8
492,58,116,673,177,128,9
290,50,100,717,177,128,9
186,55,110,653,177,128,9
892,45,91,696,177,128,9
683,48,96,669,177,128,9
983,49,99,716,177,128,9
421,60,120,645,177,128,9
