sid,BUFF,NOT,AND,PI,PO,LP
117,6630,13260,144202,37603,37419,30
400,6932,13865,138481,37603,37419,30
669,4982,9965,129132,37603,37419,31
979,7353,14706,139367,37603,37419,30
166,11419,22839,153095,37603,37419,30
717,6470,12941,145729,37603,37419,30
894,11274,22548,143780,37603,37419,30
325,11493,22986,143558,37603,37419,31
599,11477,22954,143926,37603,37419,30
671,11597,23194,143361,37603,37419,29
710,11452,22905,155900,37603,37419,31
641,5747,11494,131642,37603,37419,29
436,11478,22957,143941,37603,37419,30
489,7217,14435,139312,37603,37419,30
427,6963,13926,139223,37603,37419,30
445,7309,14618,139617,37603,37419,29
84,4744,9489,127905,37603,37419,30
794,11321,22642,143274,37603,37419,30
61,6910,13820,137584,37603,37419,31
307,7512,15025,141632,37603,37419,30
680,11557,23114,155168,37603,37419,30
973,7109,14219,139140,37603,37419,30
706,11592,23184,155815,37603,37419,30
727,11650,23300,156082,37603,37419,30
382,7219,14438,138917,37603,37419,31
697,11582,23165,142959,37603,37419,30
245,6858,13717,138459,37603,37419,31
808,11388,22777,153800,37603,37419,29
346,7530,15060,141324,37603,37419,30
880,6551,13102,145334,37603,37419,30
408,7195,14391,138962,37603,37419,31
939,11414,22829,142843,37603,37419,29
991,4656,9312,128945,37603,37419,29
402,11574,23148,143772,37603,37419,30
615,11613,23227,143807,37603,37419,30
901,11386,22773,143597,37603,37419,30
406,11353,22706,143491,37603,37419,30
972,4678,9357,128515,37603,37419,30
618,4273,8546,127954,37603,37419,30
355,11605,23210,143088,37603,37419,31
396,11416,22832,153902,37603,37419,30
54,11434,22868,154088,37603,37419,30
548,5984,11968,131794,37603,37419,30
558,6843,13686,138105,37603,37419,30
607,7151,14303,138774,37603,37419,31
838,7181,14363,138602,37603,37419,30
414,11554,23108,155736,37603,37419,30
279,6869,13739,138240,37603,37419,30
696,4577,9154,126008,37603,37419,30
190,7158,14317,140463,37603,37419,31
181,11408,22816,153543,37603,37419,31
169,6915,13830,137889,37603,37419,30
646,11359,22719,154034,37603,37419,30
447,11614,23229,143170,37603,37419,31
910,7096,14192,139623,37603,37419,30
524,6987,13974,140294,37603,37419,30
707,7219,14438,139930,37603,37419,29
252,4921,9843,129054,37603,37419,30
936,11465,22931,142586,37603,37419,30
542,11426,22852,142799,37603,37419,30
529,6890,13781,139033,37603,37419,30
448,6942,13884,139085,37603,37419,31
64,11336,22673,154077,37603,37419,30
585,11398,22797,152847,37603,37419,30
59,11614,23229,154471,37603,37419,30
393,4393,8787,127922,37603,37419,30
841,6917,13834,138245,37603,37419,29
874,11220,22440,143502,37603,37419,29
271,4817,9635,128004,37603,37419,31
313,11529,23059,155205,37603,37419,31
594,4416,8833,127402,37603,37419,30
541,11338,22676,153329,37603,37419,30
492,7041,14083,140142,37603,37419,30
290,11757,23515,144603,37603,37419,30
392,11291,22582,143917,37603,37419,30
421,7020,14040,138864,37603,37419,30
683,7125,14251,138208,37603,37419,29
600,11264,22529,153114,37603,37419,30
186,7123,14247,138250,37603,37419,30
983,4819,9638,127934,37603,37419,29
345,11545,23091,143173,37603,37419,29
892,11759,23518,144459,37603,37419,30
718,6610,13221,133143,37603,37419,31
788,6671,13343,144423,37603,37419,30
649,11392,22785,154213,37603,37419,30
264,4933,9867,128068,37603,37419,30
89,4762,9525,127517,37603,37419,30
262,5867,11735,130665,37603,37419,30
418,11509,23019,155093,37603,37419,30
748,7158,14316,140127,37603,37419,30
209,7215,14431,138389,37603,37419,30
37,11350,22700,153206,37603,37419,31
760,7000,14001,139336,37603,37419,31
481,11414,22829,153591,37603,37419,30
360,11450,22901,143024,37603,37419,29
326,10998,21997,142320,37603,37419,31
422,5759,11519,130138,37603,37419,30
184,4863,9727,128798,37603,37419,30
762,11363,22726,153331,37603,37419,30
951,11449,22898,154417,37603,37419,30
940,11743,23486,144974,37603,37419,30
790,11514,23029,156295,37603,37419,30
