sid,BUFF,NOT,AND,PI,PO,LP
641,56,113,1051,45,45,10
166,65,131,1100,45,45,10
979,64,128,1042,45,45,10
669,56,113,1109,45,45,10
671,59,118,1181,45,45,10
894,58,116,1040,45,45,10
717,60,121,1081,45,45,10
400,62,124,1101,45,45,9
117,58,117,1086,45,45,9
710,73,147,1126,45,45,10
599,70,140,1120,45,45,9
325,80,160,1210,45,45,10
706,85,171,1177,45,45,10
489,66,132,1105,45,45,10
436,60,121,1106,45,45,9
84,85,171,1126,45,45,10
427,58,116,1097,45,45,10
727,60,121,1164,45,45,9
61,63,126,1051,45,45,9
794,56,113,1119,45,45,10
680,55,110,1122,45,45,9
973,84,168,1131,45,45,10
445,59,118,1029,45,45,10
307,92,185,1154,45,45,11
697,54,108,1115,45,45,9
382,65,130,1022,45,45,9
808,64,128,1133,45,45,11
245,74,149,1109,45,45,11
408,86,173,1112,45,45,11
880,56,112,1043,45,45,10
402,86,172,1225,45,45,11
939,61,123,1078,45,45,10
991,66,133,1086,45,45,10
615,58,117,1157,45,45,9
346,88,176,1154,45,45,10
901,86,172,1204,45,45,10
972,57,114,1137,45,45,9
406,61,123,1104,45,45,9
548,75,150,1169,45,45,10
396,63,127,1094,45,45,10
618,63,126,1064,45,45,10
54,66,132,1114,45,45,10
558,89,178,1105,45,45,11
355,58,116,1162,45,45,9
838,66,132,1080,45,45,10
607,87,174,1087,45,45,11
414,63,127,1065,45,45,10
279,75,151,1132,45,45,11
181,63,127,1087,45,45,10
696,69,138,1126,45,45,9
646,54,109,1074,45,45,10
447,68,137,1167,45,45,10
169,56,113,1055,45,45,10
190,56,113,1065,45,45,10
910,53,106,1049,45,45,9
707,70,140,1099,45,45,9
252,50,101,1065,45,45,9
936,68,137,1135,45,45,10
542,61,123,1149,45,45,9
524,55,110,1050,45,45,11
64,67,134,1170,45,45,10
529,60,121,1061,45,45,10
585,74,149,1092,45,45,10
59,54,108,1104,45,45,10
393,55,110,1071,45,45,9
448,60,120,1103,45,45,9
841,58,117,1066,45,45,10
874,87,174,1151,45,45,11
594,62,124,1095,45,45,10
313,61,123,1120,45,45,10
271,59,119,1062,45,45,9
541,97,195,1193,45,45,11
290,59,118,1090,45,45,9
392,68,137,1121,45,45,10
492,56,113,1064,45,45,9
683,62,125,1081,45,45,9
600,76,153,1133,45,45,10
421,57,115,1051,45,45,9
345,52,105,1110,45,45,9
892,82,164,1197,45,45,10
983,52,104,1046,45,45,10
718,59,118,1070,45,45,9
186,70,140,1131,45,45,10
788,63,127,1116,45,45,10
89,59,118,1069,45,45,10
264,65,130,1162,45,45,9
649,57,114,1072,45,45,10
418,58,117,1090,45,45,10
262,54,109,1020,45,45,10
37,54,109,1086,45,45,10
209,62,125,1073,45,45,10
760,67,134,1079,45,45,10
748,75,150,1091,45,45,10
481,98,196,1166,45,45,11
360,63,127,1102,45,45,9
326,64,129,1120,45,45,10
184,65,131,1126,45,45,10
951,84,169,1161,45,45,11
762,70,140,1144,45,45,10
422,67,135,1133,45,45,9
940,55,110,1089,45,45,10
790,92,184,1150,45,45,11
562,90,180,1210,45,45,10
834,56,113,1079,45,45,10
34,51,103,1119,45,45,10
660,90,180,1167,45,45,11
518,63,127,1088,45,45,10
366,79,159,1173,45,45,10
5,63,126,1132,45,45,9
515,85,171,1215,45,45,11
818,73,147,1097,45,45,10
916,53,107,1099,45,45,9
465,65,131,1085,45,45,10
772,48,96,1055,45,45,10
949,61,122,1039,45,45,10
741,55,110,1097,45,45,9
164,64,128,1083,45,45,9
604,80,160,1195,45,45,10
624,66,133,1123,45,45,10
370,65,131,1082,45,45,10
984,63,127,1124,45,45,9
71,58,117,1142,45,45,10
873,89,178,1148,45,45,10
525,57,115,1108,45,45,10
988,64,129,1078,45,45,10
777,85,170,1208,45,45,10
487,58,116,1091,45,45,10
362,73,146,1140,45,45,10
162,88,176,1188,45,45,11
145,60,120,1144,45,45,9
237,84,168,1133,45,45,10
238,91,182,1164,45,45,11
300,85,170,1166,45,45,12
666,64,129,1095,45,45,10
453,72,145,1138,45,45,10
132,59,119,1122,45,45,9
621,72,145,1146,45,45,10
658,77,155,1179,45,45,10
527,74,149,1194,45,45,10
428,60,120,1069,45,45,9
667,72,145,1096,45,45,10
216,83,167,1159,45,45,10
573,57,115,1135,45,45,9
312,60,121,1102,45,45,9
19,46,93,1075,45,45,10
565,71,142,1123,45,45,10
86,47,95,1041,45,45,10
410,64,129,1100,45,45,11
363,65,130,1077,45,45,10
107,57,114,1116,45,45,10
644,93,186,1121,45,45,11
505,58,117,1101,45,45,10
970,68,137,1111,45,45,9
446,62,124,1139,45,45,9
628,89,179,1182,45,45,10
980,57,115,1041,45,45,10
206,62,125,1071,45,45,10
457,56,113,1029,45,45,9
606,46,92,1027,45,45,9
975,52,104,1076,45,45,10
240,69,138,1112,45,45,10
974,71,142,1091,45,45,10
911,63,126,1109,45,45,9
123,55,111,1065,45,45,10
327,69,139,1129,45,45,9
497,66,132,1055,45,45,10
147,62,125,1121,45,45,10
918,83,166,1164,45,45,10
905,60,121,1120,45,45,10
224,99,199,1200,45,45,11
922,63,127,1075,45,45,10
434,54,108,1089,45,45,9
498,79,159,1154,45,45,10
832,89,178,1129,45,45,11
771,79,158,1151,45,45,10
334,60,121,1066,45,45,10
15,58,116,1104,45,45,10
775,67,135,1090,45,45,10
958,90,180,1137,45,45,11
990,63,126,1088,45,45,10
333,58,117,1102,45,45,9
960,57,115,1081,45,45,9
336,68,137,1127,45,45,9
593,91,182,1141,45,45,11
851,64,129,1062,45,45,10
904,60,120,1073,45,45,10
862,52,104,1099,45,45,9
533,83,167,1140,45,45,11
509,66,132,1048,45,45,11
906,67,135,1148,45,45,9
283,58,116,1079,45,45,10
567,54,108,1071,45,45,9
343,64,128,1129,45,45,10
695,70,140,1121,45,45,10
90,67,134,1092,45,45,10
678,49,99,1053,45,45,10
699,59,118,1092,45,45,9
849,59,119,1068,45,45,10
102,59,118,1071,45,45,9
485,77,155,1125,45,45,11
475,88,176,1127,45,45,11
473,61,123,1064,45,45,10
372,54,109,1056,45,45,11
879,87,174,1128,45,45,10
60,61,123,1134,45,45,10
320,61,123,1149,45,45,9
872,64,128,1114,45,45,10
861,70,140,1156,45,45,10
555,82,164,1180,45,45,10
25,67,135,1119,45,45,10
211,89,179,1127,45,45,11
291,60,121,1110,45,45,10
13,80,160,1126,45,45,12
369,83,166,1201,45,45,11
168,57,115,1069,45,45,10
797,84,169,1160,45,45,10
796,64,129,1083,45,45,10
754,57,114,1092,45,45,9
837,63,126,1129,45,45,9
430,52,105,1093,45,45,10
500,58,117,1088,45,45,9
109,63,126,1086,45,45,9
474,61,123,1045,45,45,10
928,67,135,1088,45,45,9
611,75,150,1133,45,45,10
749,64,129,1107,45,45,9
351,53,106,1044,45,45,9
595,86,172,1176,45,45,11
352,69,138,1126,45,45,10
867,70,140,1093,45,45,10
69,74,149,1114,45,45,10
36,70,140,1151,45,45,10
0,63,127,1091,45,45,10
494,64,129,1104,45,45,10
705,61,122,1060,45,45,10
276,82,164,1163,45,45,10
46,53,106,1025,45,45,10
813,89,179,1116,45,45,11
229,59,119,1078,45,45,10
144,70,140,1094,45,45,9
137,54,108,1070,45,45,10
310,54,109,1044,45,45,10
610,62,124,1082,45,45,10
519,63,126,1136,45,45,10
342,83,167,1144,45,45,11
915,63,126,1083,45,45,9
776,63,127,1075,45,45,10
367,57,114,1048,45,45,11
296,72,145,1082,45,45,10
941,58,116,1105,45,45,10
134,59,119,1095,45,45,9
226,87,175,1164,45,45,10
885,67,135,1073,45,45,10
545,96,193,1105,45,45,11
161,60,120,1102,45,45,10
148,58,116,1100,45,45,10
415,52,104,1022,45,45,10
551,64,128,1058,45,45,9
745,90,180,1101,45,45,11
304,78,156,1126,45,45,10
185,58,116,1134,45,45,10
100,62,125,1066,45,45,9
694,72,144,1077,45,45,10
214,60,121,1079,45,45,9
113,64,129,1122,45,45,9
43,70,141,1101,45,45,10
926,69,138,1151,45,45,10
780,58,117,1107,45,45,9
444,68,137,1156,45,45,9
588,59,118,1065,45,45,9
232,55,110,1078,45,45,10
722,52,105,1079,45,45,9
827,85,171,1241,45,45,10
281,88,176,1152,45,45,11
495,65,130,1073,45,45,10
364,54,108,1073,45,45,10
496,66,132,1086,45,45,10
514,67,134,1121,45,45,9
897,55,111,1113,45,45,9
423,101,202,1202,45,45,11
140,68,137,1096,45,45,9
703,58,117,1076,45,45,10
198,68,136,1137,45,45,10
996,55,111,1132,45,45,10
200,64,128,1095,45,45,10
274,65,131,1093,45,45,10
670,79,159,1120,45,45,11
141,84,169,1209,45,45,10
103,71,143,1188,45,45,10
459,68,136,1101,45,45,10
739,62,125,1135,45,45,10
114,56,113,1053,45,45,10
623,66,133,1090,45,45,10
965,69,138,1104,45,45,10
260,62,124,1069,45,45,10
721,87,174,1238,45,45,10
44,60,121,1093,45,45,9
709,61,122,1107,45,45,11
690,55,110,1122,45,45,9
961,81,162,1166,45,45,10
942,70,141,1074,45,45,10
284,63,126,1092,45,45,9
52,91,183,1108,45,45,11
824,53,107,1082,45,45,10
385,59,118,1075,45,45,10
27,66,132,1127,45,45,10
952,65,130,1071,45,45,10
863,65,131,1099,45,45,10
464,99,198,1158,45,45,11
516,60,121,1127,45,45,10
395,71,142,1103,45,45,10
616,70,140,1038,45,45,10
815,48,97,1100,45,45,9
640,59,119,1043,45,45,9
244,69,139,1117,45,45,9
547,47,94,1020,45,45,9
439,63,127,1093,45,45,11
75,52,105,1121,45,45,9
914,65,131,1048,45,45,10
79,92,185,1184,45,45,10
688,80,160,1213,45,45,11
898,57,115,1059,45,45,10
716,76,153,1125,45,45,10
467,79,158,1146,45,45,10
167,48,97,1073,45,45,9
50,62,125,1076,45,45,10
309,56,113,1136,45,45,10
285,63,127,1110,45,45,10
662,65,130,1096,45,45,10
472,68,136,1115,45,45,10
116,49,99,1043,45,45,10
66,52,105,1081,45,45,9
752,61,123,1088,45,45,10
42,63,127,1126,45,45,10
389,60,121,1086,45,45,9
597,76,152,1216,45,45,10
479,74,149,1128,45,45,10
508,63,126,1121,45,45,9
959,53,107,1008,45,45,10
672,83,167,1194,45,45,10
907,55,111,1057,45,45,10
253,58,117,1073,45,45,10
919,91,183,1230,45,45,10
49,59,119,1118,45,45,9
449,92,185,1157,45,45,11
21,62,124,1123,45,45,10
189,54,109,1050,45,45,9
478,68,136,1124,45,45,10
943,81,163,1130,45,45,10
239,52,105,1037,45,45,10
929,67,134,1096,45,45,9
68,70,140,1123,45,45,10
589,68,137,1150,45,45,10
193,89,178,1156,45,45,11
633,80,161,1124,45,45,10
380,56,112,1119,45,45,9
82,64,128,1108,45,45,10
217,97,195,1164,45,45,11
512,59,118,1093,45,45,10
468,83,166,1242,45,45,10
159,61,123,1081,45,45,10
17,63,127,1116,45,45,9
878,57,115,1127,45,45,9
839,58,116,1068,45,45,9
411,66,132,1116,45,45,9
738,68,137,1146,45,45,10
10,48,96,1071,45,45,10
802,63,126,1154,45,45,10
152,65,131,1094,45,45,9
111,99,198,1205,45,45,11
270,85,170,1218,45,45,10
568,53,107,1089,45,45,9
373,52,105,1044,45,45,11
803,48,97,1038,45,45,9
561,66,133,1102,45,45,11
3,63,127,1162,45,45,10
685,65,131,1151,45,45,9
868,60,120,1048,45,45,10
903,60,121,1096,45,45,9
452,53,106,1068,45,45,9
31,64,129,1060,45,45,9
390,86,172,1211,45,45,11
530,71,142,1131,45,45,9
648,81,163,1194,45,45,10
381,66,133,1118,45,45,10
976,66,133,1109,45,45,9
93,58,117,1094,45,45,9
659,57,115,1108,45,45,10
947,62,124,1074,45,45,10
835,60,121,1138,45,45,10
560,75,151,1143,45,45,10
321,60,120,1112,45,45,10
143,61,123,1091,45,45,10
783,52,105,1097,45,45,10
998,66,132,1117,45,45,9
288,58,117,1106,45,45,10
511,67,134,1159,45,45,10
653,89,178,1155,45,45,12
865,73,146,1087,45,45,10
282,62,125,1109,45,45,9
643,58,116,1066,45,45,10
11,90,180,1188,45,45,11
85,56,112,1068,45,45,10
504,57,115,1132,45,45,9
331,95,191,1147,45,45,11
442,68,136,1108,45,45,10
170,46,92,1027,45,45,9
877,49,98,1117,45,45,9
572,66,133,1071,45,45,10
