sid,BUFF,NOT,AND,PI,PO,LP
117,1054,2109,18148,32,32,251
400,992,1985,17733,32,32,258
166,1015,2030,17778,32,32,252
669,931,1862,17479,32,32,259
979,964,1928,17909,32,32,251
717,1087,2175,18485,32,32,251
894,949,1899,17587,32,32,249
325,1063,2126,18080,32,32,254
599,1029,2059,18024,32,32,247
710,1052,2104,18128,32,32,249
641,987,1974,17895,32,32,249
671,1059,2119,18235,32,32,251
436,1044,2089,18055,32,32,251
489,955,1911,17553,32,32,257
427,980,1960,17691,32,32,264
794,950,1900,17302,32,32,263
307,1013,2027,17705,32,32,260
61,1076,2153,18759,32,32,247
445,977,1955,17963,32,32,256
680,1078,2157,18500,32,32,252
706,1069,2139,18323,32,32,252
84,976,1952,17412,32,32,260
973,1064,2128,18613,32,32,246
727,1042,2085,18262,32,32,251
382,1085,2171,18649,32,32,249
697,1024,2048,18218,32,32,254
808,1030,2060,18202,32,32,253
245,1003,2007,18236,32,32,259
346,1022,2045,17628,32,32,264
408,988,1976,18434,32,32,260
939,1043,2086,18170,32,32,254
402,1060,2121,18096,32,32,256
880,1070,2140,18221,32,32,252
901,943,1886,17179,32,32,263
991,937,1874,17564,32,32,251
615,1037,2075,18185,32,32,251
406,957,1914,17500,32,32,255
618,986,1972,17863,32,32,263
972,1030,2061,17870,32,32,256
396,963,1927,17892,32,32,253
548,998,1997,17429,32,32,262
54,1129,2259,18318,32,32,252
355,1069,2139,18660,32,32,252
414,992,1985,17916,32,32,253
279,987,1974,17932,32,32,259
838,940,1881,17722,32,32,256
558,1045,2091,18463,32,32,255
607,1078,2157,18168,32,32,256
646,1096,2192,18309,32,32,253
190,975,1950,17835,32,32,260
181,1061,2122,18003,32,32,255
696,1000,2001,17901,32,32,257
447,1073,2146,18648,32,32,252
910,1079,2158,18703,32,32,250
524,1096,2193,18605,32,32,252
252,910,1820,17292,32,32,260
169,1070,2141,18888,32,32,257
707,975,1951,18005,32,32,255
936,1069,2138,18346,32,32,249
542,1030,2061,18112,32,32,251
64,1032,2064,18093,32,32,251
585,961,1923,17498,32,32,255
448,982,1965,17705,32,32,258
393,961,1923,17770,32,32,257
529,1136,2273,19702,32,32,237
841,970,1940,17732,32,32,261
59,1106,2213,18661,32,32,249
313,1000,2000,18212,32,32,253
874,985,1971,17430,32,32,260
594,976,1952,17772,32,32,259
271,914,1829,17212,32,32,258
541,1039,2078,17764,32,32,257
392,960,1921,17639,32,32,253
290,964,1928,17496,32,32,255
600,1065,2130,19004,32,32,244
492,1056,2113,18272,32,32,264
683,1095,2191,18978,32,32,246
892,993,1987,17714,32,32,256
186,991,1982,17950,32,32,259
983,895,1791,17213,32,32,264
421,997,1994,17947,32,32,256
345,1043,2086,18283,32,32,255
718,1029,2058,18076,32,32,246
788,1034,2068,18174,32,32,255
264,964,1929,17112,32,32,265
262,959,1919,17562,32,32,260
649,970,1941,17721,32,32,259
89,917,1834,17267,32,32,255
418,1095,2191,18551,32,32,252
37,1036,2073,19362,32,32,243
209,1048,2097,18716,32,32,246
748,963,1927,17881,32,32,262
760,926,1852,17653,32,32,262
360,964,1929,17834,32,32,254
326,925,1851,17585,32,32,251
481,1008,2017,17949,32,32,259
422,950,1901,17584,32,32,256
184,898,1797,17266,32,32,256
762,998,1997,19167,32,32,246
790,1072,2144,18181,32,32,256
940,973,1947,17609,32,32,251
34,1045,2091,18141,32,32,247
660,977,1955,17193,32,32,265
951,1062,2124,18597,32,32,249
834,969,1938,17995,32,32,252
5,963,1927,17753,32,32,259
562,1063,2127,17961,32,32,259
366,1010,2020,17426,32,32,262
518,1050,2101,18367,32,32,257
949,1028,2056,19302,32,32,250
164,993,1987,17692,32,32,250
916,993,1986,17795,32,32,257
515,1072,2144,17953,32,32,256
772,1021,2043,18232,32,32,251
370,985,1970,17675,32,32,251
818,1024,2048,18632,32,32,245
465,1062,2124,18289,32,32,248
741,1022,2044,18134,32,32,256
624,978,1957,17763,32,32,262
604,1104,2208,18208,32,32,249
984,1034,2068,18217,32,32,256
873,1051,2103,18055,32,32,258
988,968,1936,17737,32,32,262
487,1028,2057,18169,32,32,253
525,1021,2043,18242,32,32,254
71,1054,2108,18547,32,32,245
162,1085,2171,18128,32,32,253
362,984,1969,17467,32,32,260
777,1048,2096,18511,32,32,250
145,990,1980,17987,32,32,254
237,1103,2207,18598,32,32,254
300,991,1983,17236,32,32,264
238,1011,2022,17738,32,32,257
666,943,1886,17369,32,32,263
453,992,1985,17629,32,32,259
428,1012,2024,18196,32,32,258
132,1023,2047,18267,32,32,256
667,921,1842,17235,32,32,258
658,990,1981,17336,32,32,259
19,1032,2065,18287,32,32,249
621,1085,2171,18853,32,32,249
216,995,1991,17475,32,32,259
527,1035,2070,17964,32,32,249
312,1009,2018,17986,32,32,254
573,1035,2071,18061,32,32,254
565,994,1989,17933,32,32,251
86,923,1846,17295,32,32,262
644,1074,2149,18298,32,32,257
970,978,1956,17836,32,32,261
107,1087,2174,18535,32,32,253
410,968,1936,17662,32,32,251
505,1063,2126,18410,32,32,254
363,1088,2176,19137,32,32,248
446,1069,2138,18469,32,32,253
628,1083,2167,18121,32,32,257
457,1084,2169,18485,32,32,247
980,949,1899,17524,32,32,258
206,896,1793,17394,32,32,255
606,1018,2036,18193,32,32,253
911,970,1941,17825,32,32,261
975,1047,2095,18151,32,32,256
327,1064,2129,18379,32,32,253
974,980,1960,17957,32,32,252
123,965,1931,17732,32,32,263
240,1023,2046,17981,32,32,250
147,961,1923,17891,32,32,251
224,1100,2201,18102,32,32,259
918,1043,2087,17742,32,32,263
905,1049,2099,18209,32,32,249
497,932,1864,17421,32,32,264
434,1081,2162,18586,32,32,251
334,977,1955,17801,32,32,254
922,1062,2125,18827,32,32,247
498,1171,2342,18035,32,32,259
15,1017,2034,18143,32,32,253
832,1066,2132,18181,32,32,253
771,1170,2341,18074,32,32,259
775,961,1922,17336,32,32,258
990,977,1955,17587,32,32,250
333,1038,2076,18484,32,32,252
958,1071,2142,18406,32,32,254
336,1001,2002,17655,32,32,252
593,1062,2124,19279,32,32,243
960,910,1820,17244,32,32,262
862,1055,2111,18312,32,32,254
851,953,1907,17456,32,32,257
904,997,1994,18067,32,32,242
533,1093,2187,18484,32,32,254
509,950,1900,17432,32,32,255
283,1055,2111,18517,32,32,251
906,952,1905,17682,32,32,259
695,1016,2032,18129,32,32,255
90,1038,2077,18103,32,32,255
567,1003,2006,18078,32,32,252
699,927,1855,17321,32,32,260
343,1021,2042,18219,32,32,251
102,950,1900,17734,32,32,263
678,1082,2164,18760,32,32,246
485,1021,2043,18113,32,32,250
849,983,1967,17895,32,32,249
372,1078,2156,19496,32,32,247
473,1036,2073,18128,32,32,248
475,1105,2210,18483,32,32,255
320,1082,2165,18597,32,32,255
60,1073,2147,18448,32,32,253
879,977,1954,17326,32,32,264
872,1052,2105,18243,32,32,247
861,1083,2167,18350,32,32,250
291,1022,2045,18200,32,32,255
25,1076,2153,18147,32,32,251
13,1113,2227,18014,32,32,261
555,1063,2126,18744,32,32,244
211,1066,2132,18181,32,32,253
369,947,1895,17264,32,32,264
168,959,1918,17554,32,32,255
837,1030,2061,18131,32,32,254
797,994,1988,17356,32,32,260
754,1028,2056,18234,32,32,252
109,1058,2117,18462,32,32,252
500,1008,2016,18102,32,32,255
796,970,1940,17600,32,32,248
430,1088,2176,18484,32,32,245
749,994,1989,18081,32,32,254
474,948,1897,17925,32,32,253
611,988,1976,17743,32,32,248
928,1084,2168,19078,32,32,246
351,1052,2104,18251,32,32,256
352,932,1864,17703,32,32,254
867,986,1972,17780,32,32,249
0,978,1956,17747,32,32,263
595,1005,2011,17980,32,32,257
69,986,1973,17290,32,32,261
36,929,1858,17686,32,32,255
494,976,1952,17861,32,32,251
705,1089,2179,18760,32,32,250
46,971,1943,17725,32,32,263
229,976,1953,17721,32,32,261
276,966,1933,17180,32,32,265
813,1054,2109,18145,32,32,257
144,1078,2157,18984,32,32,241
137,977,1954,17740,32,32,263
310,1006,2012,17928,32,32,262
610,1073,2146,18532,32,32,248
776,1023,2046,18052,32,32,259
342,1088,2176,18241,32,32,253
519,945,1890,17519,32,32,253
296,943,1886,17845,32,32,254
915,1049,2098,18078,32,32,243
134,985,1971,18010,32,32,252
367,993,1987,18073,32,32,255
941,966,1933,17855,32,32,256
226,1062,2124,18033,32,32,258
885,997,1995,17952,32,32,257
161,964,1929,17725,32,32,262
545,1044,2088,18115,32,32,258
148,948,1896,17591,32,32,254
304,1051,2103,18102,32,32,258
745,1032,2064,18467,32,32,252
415,989,1978,18003,32,32,252
214,1019,2038,18208,32,32,253
185,1003,2007,17812,32,32,255
551,1177,2354,19753,32,32,241
100,1064,2128,18988,32,32,245
694,1018,2036,17972,32,32,251
113,1026,2053,18414,32,32,258
780,1071,2143,18616,32,32,253
43,1104,2209,18194,32,32,252
926,938,1876,17831,32,32,254
444,957,1914,17839,32,32,249
281,1166,2332,18032,32,32,260
722,986,1973,17970,32,32,249
588,881,1763,17152,32,32,267
232,1018,2037,18089,32,32,250
496,1029,2059,18340,32,32,251
495,1109,2219,19628,32,32,244
364,991,1983,17795,32,32,255
423,1058,2116,18124,32,32,255
827,1057,2114,17975,32,32,254
140,1000,2000,17609,32,32,249
514,972,1944,17869,32,32,255
198,991,1982,17814,32,32,256
897,999,1999,18155,32,32,249
670,1155,2310,18191,32,32,264
703,965,1930,17939,32,32,255
200,992,1985,17795,32,32,252
996,1064,2128,18385,32,32,251
141,969,1939,17209,32,32,266
274,1044,2088,18122,32,32,257
459,996,1992,17881,32,32,258
260,1000,2000,17839,32,32,261
103,1074,2149,18570,32,32,253
623,999,1998,18081,32,32,256
739,991,1982,18043,32,32,249
114,1060,2120,18220,32,32,254
965,929,1858,17508,32,32,253
709,1053,2106,18363,32,32,253
44,1044,2089,18644,32,32,249
721,948,1896,17173,32,32,266
961,978,1956,17399,32,32,258
690,1013,2026,18169,32,32,252
284,990,1980,17763,32,32,258
52,1121,2243,18476,32,32,258
942,911,1822,17287,32,32,255
824,973,1947,17717,32,32,252
27,991,1982,17949,32,32,251
385,1060,2121,18379,32,32,252
863,971,1943,17778,32,32,258
952,913,1827,17262,32,32,260
516,967,1934,17518,32,32,251
464,1004,2008,17646,32,32,260
616,982,1965,17464,32,32,257
395,1030,2060,18093,32,32,255
244,995,1990,18129,32,32,252
815,1064,2128,18358,32,32,253
439,1009,2019,17862,32,32,251
75,1029,2058,18042,32,32,248
640,1070,2141,18931,32,32,240
547,1045,2091,18564,32,32,255
688,1060,2120,17953,32,32,255
914,1023,2047,18011,32,32,244
898,974,1949,17594,32,32,249
79,992,1984,17220,32,32,266
167,1012,2025,18266,32,32,250
50,1029,2058,18081,32,32,252
716,1131,2262,18058,32,32,261
467,954,1908,17163,32,32,264
309,1078,2157,18588,32,32,253
285,949,1898,17862,32,32,253
116,1023,2046,18034,32,32,258
472,948,1897,17503,32,32,254
662,965,1931,17596,32,32,257
42,1042,2084,18154,32,32,252
66,1035,2071,18173,32,32,252
752,989,1979,18059,32,32,249
389,985,1970,17834,32,32,263
959,957,1915,17470,32,32,258
479,994,1988,17283,32,32,267
597,1102,2205,18226,32,32,251
508,1086,2173,19380,32,32,243
672,977,1954,17408,32,32,255
907,1046,2093,18106,32,32,257
919,966,1932,17543,32,32,255
253,952,1905,17815,32,32,254
189,1067,2134,18141,32,32,252
449,981,1963,17242,32,32,265
49,1023,2047,18360,32,32,256
21,950,1900,17407,32,32,256
478,1076,2153,18147,32,32,251
239,988,1977,18132,32,32,252
68,1012,2024,17611,32,32,254
929,944,1888,17814,32,32,246
589,1061,2123,18148,32,32,252
943,1071,2143,18570,32,32,251
193,1056,2112,17632,32,32,258
633,1028,2056,18097,32,32,257
217,974,1949,17279,32,32,264
380,1051,2102,18287,32,32,252
512,1101,2203,18272,32,32,248
82,950,1901,17570,32,32,255
468,1061,2123,18171,32,32,255
878,944,1889,17783,32,32,262
17,942,1885,17928,32,32,251
159,1033,2067,18152,32,32,250
411,940,1880,17498,32,32,259
839,906,1813,17208,32,32,259
10,1000,2000,18042,32,32,253
738,961,1922,17493,32,32,262
111,1084,2168,18156,32,32,259
152,1059,2118,18774,32,32,245
802,991,1983,17590,32,32,250
270,1050,2100,17949,32,32,253
373,946,1893,17577,32,32,252
803,971,1942,17776,32,32,257
3,1072,2145,18561,32,32,252
568,1047,2095,18208,32,32,252
903,901,1802,17575,32,32,257
685,1005,2010,18632,32,32,254
561,950,1901,17493,32,32,253
868,1066,2133,19045,32,32,246
452,1069,2139,18266,32,32,253
31,990,1980,17994,32,32,249
390,1048,2097,18007,32,32,254
530,955,1910,17529,32,32,256
659,1089,2179,18404,32,32,254
381,1061,2122,18208,32,32,251
93,930,1860,17828,32,32,257
648,1022,2045,17610,32,32,259
947,1012,2024,17895,32,32,257
976,1040,2081,18051,32,32,248
321,1048,2096,18841,32,32,245
835,1079,2159,18519,32,32,249
783,1060,2120,18357,32,32,252
560,926,1852,17234,32,32,258
143,1043,2087,18350,32,32,253
998,1012,2025,17764,32,32,251
865,1059,2118,18212,32,32,250
282,951,1902,17553,32,32,256
288,1039,2078,18271,32,32,254
653,1073,2146,19290,32,32,244
511,981,1963,17779,32,32,259
643,975,1950,17667,32,32,259
11,1129,2259,19014,32,32,247
85,1074,2149,19100,32,32,247
504,1051,2103,18481,32,32,254
442,1053,2107,18888,32,32,244
331,1028,2056,18089,32,32,257
170,1016,2032,18155,32,32,252
629,980,1960,17927,32,32,262
572,931,1863,17799,32,32,253
311,974,1948,17873,32,32,250
556,996,1993,17900,32,32,253
805,1059,2119,17946,32,32,254
877,944,1889,17426,32,32,255
8,1052,2105,18015,32,32,256
73,960,1921,17535,32,32,261
935,987,1974,17582,32,32,258
323,1007,2015,17636,32,32,261
896,1028,2056,18049,32,32,256
932,1027,2054,19130,32,32,249
365,1073,2147,18207,32,32,250
520,928,1856,17764,32,32,250
502,1004,2008,17815,32,32,257
750,987,1975,17795,32,32,262
70,988,1976,17493,32,32,252
766,999,1998,18129,32,32,259
663,1083,2167,18212,32,32,251
963,953,1906,17821,32,32,254
83,993,1987,17871,32,32,260
275,1030,2061,18020,32,32,259
388,990,1981,17763,32,32,249
221,1003,2007,17671,32,32,248
210,931,1862,17266,32,32,261
174,1090,2180,18665,32,32,255
330,985,1971,17206,32,32,268
265,998,1997,18009,32,32,253
598,951,1903,17227,32,32,262
531,979,1959,17839,32,32,263
219,1016,2033,18271,32,32,252
893,1033,2067,18089,32,32,258
433,1014,2029,18292,32,32,253
962,1051,2103,18544,32,32,246
441,1036,2073,17733,32,32,263
566,957,1914,17841,32,32,263
842,1055,2111,18369,32,32,253
564,1017,2034,18126,32,32,260
895,902,1804,17290,32,32,258
213,964,1929,17856,32,32,254
887,1029,2058,18047,32,32,244
118,923,1846,17523,32,32,257
921,1027,2054,18171,32,32,249
580,1075,2151,18126,32,32,253
348,1048,2097,19012,32,32,243
197,1049,2099,18200,32,32,253
2,1035,2070,18238,32,32,252
733,1080,2160,18227,32,32,250
647,1089,2179,18302,32,32,252
470,965,1930,17807,32,32,260
759,1091,2183,18965,32,32,243
179,1009,2019,18236,32,32,252
969,1066,2133,19040,32,32,249
712,959,1919,17735,32,32,253
344,1066,2133,18227,32,32,250
927,976,1953,17384,32,32,259
668,1077,2155,18853,32,32,247
807,1009,2018,17884,32,32,249
176,1031,2062,17901,32,32,254
153,984,1968,17986,32,32,260
665,1061,2123,18772,32,32,251
995,1018,2036,18026,32,32,250
106,992,1985,18046,32,32,257
522,942,1884,17551,32,32,255
692,1014,2029,18203,32,32,253
225,1027,2055,17941,32,32,257
435,926,1852,17433,32,32,263
757,1086,2172,19062,32,32,245
735,1107,2214,18818,32,32,247
765,985,1970,17640,32,32,248
968,953,1907,17722,32,32,260
125,1036,2072,18268,32,32,251
484,1033,2067,18058,32,32,248
993,937,1874,17565,32,32,258
583,1013,2027,18065,32,32,255
726,1066,2132,18209,32,32,254
482,1027,2055,18299,32,32,243
989,896,1792,17319,32,32,260
720,1116,2232,18042,32,32,261
676,945,1890,17344,32,32,260
80,1014,2029,17317,32,32,261
821,994,1989,17617,32,32,253
638,1066,2132,18552,32,32,252
112,1023,2047,17930,32,32,254
99,1083,2167,18538,32,32,252
268,1015,2031,17516,32,32,258
592,1051,2103,18002,32,32,260
829,1023,2047,18207,32,32,253
261,969,1938,17569,32,32,255
650,982,1965,18002,32,32,257
596,968,1936,17235,32,32,265
280,1092,2184,18343,32,32,253
645,1105,2210,17971,32,32,255
477,951,1903,17921,32,32,255
78,1050,2100,18574,32,32,254
461,1051,2102,17984,32,32,259
301,1079,2158,18116,32,32,250
203,997,1994,17764,32,32,263
319,981,1963,17965,32,32,249
823,988,1977,17917,32,32,254
686,1040,2081,18165,32,32,253
816,979,1959,17697,32,32,250
864,1051,2103,19350,32,32,243
158,1009,2019,18020,32,32,251
855,1000,2001,17272,32,32,268
273,984,1969,17149,32,32,265
127,1057,2114,18329,32,32,253
753,1022,2045,18123,32,32,250
454,938,1877,17840,32,32,251
4,1011,2023,17740,32,32,251
350,981,1962,17827,32,32,257
737,951,1903,17247,32,32,261
734,1035,2070,18154,32,32,252
398,944,1889,17845,32,32,251
235,1048,2096,18410,32,32,251
637,1058,2117,18878,32,32,245
315,1013,2026,17714,32,32,259
977,976,1953,17882,32,32,254
254,1096,2193,18412,32,32,255
135,1060,2120,18515,32,32,253
101,966,1932,18217,32,32,248
295,1044,2088,18358,32,32,252
204,1028,2056,18175,32,32,262
956,968,1937,17607,32,32,254
302,1027,2054,18169,32,32,257
817,921,1842,17258,32,32,263
155,1005,2010,17528,32,32,254
462,1035,2070,18115,32,32,254
426,993,1986,17488,32,32,264
201,994,1988,17253,32,32,268
704,994,1989,17458,32,32,261
139,972,1945,17899,32,32,256
677,1003,2006,18046,32,32,253
581,949,1899,17587,32,32,259
233,979,1959,17751,32,32,260
173,918,1837,17257,32,32,260
957,986,1973,18097,32,32,258
711,999,1998,17618,32,32,261
719,982,1964,17758,32,32,260
9,926,1853,17734,32,32,258
674,1086,2172,18427,32,32,248
230,997,1995,17757,32,32,257
409,971,1943,17560,32,32,253
63,1060,2121,18491,32,32,248
967,1056,2113,17656,32,32,261
574,1176,2352,18028,32,32,259
188,1029,2059,18257,32,32,253
257,977,1954,17531,32,32,255
812,996,1993,18274,32,32,248
506,990,1981,18172,32,32,259
72,1102,2204,18564,32,32,249
884,992,1985,17492,32,32,263
55,1018,2036,18186,32,32,252
403,1024,2049,18158,32,32,252
29,953,1906,17224,32,32,262
45,1026,2053,18204,32,32,251
347,1048,2097,17667,32,32,259
786,976,1952,17810,32,32,258
746,1034,2069,18217,32,32,254
992,1024,2049,18498,32,32,250
590,991,1982,18009,32,32,259
507,940,1881,17451,32,32,257
820,1024,2049,18799,32,32,246
539,1026,2053,17484,32,32,261
401,980,1960,17236,32,32,265
764,984,1969,18019,32,32,248
177,1045,2091,18255,32,32,250
405,979,1958,17823,32,32,262
94,930,1861,17529,32,32,258
150,1006,2013,17970,32,32,248
250,1066,2133,18904,32,32,252
724,965,1931,17964,32,32,264
652,966,1932,17321,32,32,264
269,1017,2035,18057,32,32,257
443,1042,2085,18154,32,32,247
917,1149,2299,19668,32,32,242
488,1047,2095,18230,32,32,250
913,934,1869,17827,32,32,250
826,970,1940,17737,32,32,260
455,983,1967,18119,32,32,251
828,1000,2000,17923,32,32,255
673,1001,2003,18141,32,32,254
316,1075,2150,18287,32,32,257
687,1020,2041,18150,32,32,254
774,936,1872,17692,32,32,263
614,966,1933,18064,32,32,250
945,1003,2007,18009,32,32,248
994,1015,2031,18366,32,32,251
537,972,1944,17893,32,32,251
536,950,1900,17556,32,32,256
76,1025,2050,18154,32,32,254
997,983,1966,17538,32,32,256
657,1020,2041,18421,32,32,253
207,932,1864,17766,32,32,257
332,948,1896,17375,32,32,261
693,1036,2072,18078,32,32,240
908,997,1995,17971,32,32,250
105,995,1991,18011,32,32,250
329,1005,2010,18203,32,32,252
47,1073,2147,18533,32,32,254
303,1044,2088,18016,32,32,247
