sid,BUFF,NOT,AND,PI,PO,LP
166,134,269,2359,27,54,19
894,144,288,2380,27,54,17
117,132,264,2495,27,54,18
671,126,252,2457,27,54,18
669,130,261,2321,27,54,18
325,125,251,2498,27,54,18
599,136,273,2510,27,54,17
400,142,284,2452,27,54,18
717,138,277,2524,27,54,18
979,119,238,2274,27,54,17
710,122,245,2334,27,54,17
641,125,251,2326,27,54,17
445,138,276,2492,27,54,17
706,124,249,2485,27,54,18
436,135,271,2453,27,54,18
427,132,264,2457,27,54,16
680,121,242,2459,27,54,17
489,133,266,2416,27,54,17
794,130,261,2370,27,54,17
84,136,273,2347,27,54,17
727,136,272,2417,27,54,19
307,137,274,2463,27,54,19
61,131,262,2348,27,54,17
973,135,270,2339,27,54,18
382,128,256,2438,27,54,16
808,138,277,2423,27,54,17
939,132,264,2494,27,54,17
697,128,257,2370,27,54,18
402,121,242,2477,27,54,18
880,135,271,2481,27,54,18
346,145,290,2376,27,54,19
991,127,254,2405,27,54,17
245,129,259,2441,27,54,17
901,142,285,2366,27,54,18
408,134,269,2334,27,54,18
615,114,228,2379,27,54,18
972,135,271,2406,27,54,17
406,138,276,2348,27,54,17
548,142,284,2445,27,54,19
54,132,264,2373,27,54,18
396,135,271,2329,27,54,18
618,135,271,2391,27,54,18
838,139,278,2347,27,54,17
414,136,273,2408,27,54,17
558,139,278,2353,27,54,18
355,132,265,2459,27,54,18
607,136,272,2365,27,54,18
279,142,285,2401,27,54,16
181,125,251,2440,27,54,16
696,143,286,2398,27,54,17
646,136,273,2391,27,54,18
169,130,260,2454,27,54,17
447,129,258,2519,27,54,18
190,144,289,2498,27,54,17
910,143,286,2364,27,54,18
524,137,274,2541,27,54,17
252,132,265,2383,27,54,17
707,134,268,2326,27,54,17
936,127,255,2407,27,54,19
542,131,263,2449,27,54,19
585,134,268,2386,27,54,18
529,136,273,2371,27,54,19
64,142,284,2359,27,54,18
448,137,275,2463,27,54,17
874,141,282,2390,27,54,18
393,137,274,2432,27,54,17
59,124,249,2392,27,54,17
841,132,265,2433,27,54,17
271,142,284,2399,27,54,17
313,126,252,2321,27,54,18
594,133,267,2455,27,54,16
541,129,258,2326,27,54,18
290,124,249,2363,27,54,17
492,133,267,2518,27,54,16
392,150,301,2378,27,54,18
683,131,263,2353,27,54,17
892,141,283,2357,27,54,17
600,129,258,2329,27,54,18
421,127,254,2368,27,54,16
718,131,262,2342,27,54,16
345,137,275,2435,27,54,17
983,125,251,2375,27,54,17
186,136,273,2428,27,54,17
788,135,271,2415,27,54,18
89,136,273,2448,27,54,18
418,133,266,2450,27,54,16
264,133,267,2350,27,54,18
