sid,BUFF,NOT,AND,PI,PO,LP
671,310,621,2580,512,130,110
400,427,854,2727,512,130,124
166,230,460,2174,512,130,109
894,427,855,2745,512,130,104
717,328,657,2544,512,130,124
669,332,665,2512,512,130,107
117,325,651,2539,512,130,124
979,309,619,2499,512,130,110
599,320,641,2539,512,130,106
710,239,478,2367,512,130,106
641,296,593,2474,512,130,105
325,280,561,2353,512,130,111
436,310,621,2580,512,130,110
489,313,626,2505,512,130,110
427,428,856,2728,512,130,124
794,328,656,2498,512,130,102
706,242,485,2207,512,130,110
61,299,599,2231,512,130,108
445,402,804,2731,512,130,108
680,286,573,2492,512,130,107
727,270,541,2331,512,130,105
84,277,554,2281,512,130,121
307,277,555,2405,512,130,139
973,262,524,2411,512,130,113
382,372,744,2490,512,130,104
939,309,618,2471,512,130,109
808,338,677,2569,512,130,102
245,402,805,2719,512,130,108
697,321,642,2474,512,130,109
880,328,657,2544,512,130,124
402,283,567,2350,512,130,108
615,310,621,2580,512,130,110
346,277,555,2405,512,130,139
408,297,595,2400,512,130,143
991,290,580,2393,512,130,105
901,269,538,2368,512,130,108
406,288,577,2372,512,130,103
972,360,721,2465,512,130,107
54,229,459,2124,512,130,110
355,320,641,2481,512,130,109
618,283,567,2285,512,130,110
396,229,459,2124,512,130,110
548,301,603,2272,512,130,117
414,329,658,2466,512,130,108
838,341,682,2462,512,130,107
279,296,593,2587,512,130,107
558,243,486,2123,512,130,115
607,272,544,2474,512,130,136
696,561,1123,3134,512,130,119
181,303,607,2315,512,130,106
447,320,641,2481,512,130,109
190,426,853,2717,512,130,116
646,262,525,2242,512,130,106
169,367,734,2585,512,130,107
910,265,530,2337,512,130,114
707,266,532,2421,512,130,109
936,310,621,2580,512,130,110
252,378,756,2521,512,130,109
542,309,619,2450,512,130,110
524,414,828,2669,512,130,116
529,268,537,2204,512,130,116
64,400,801,2809,512,130,108
585,229,459,2124,512,130,110
448,427,854,2721,512,130,116
874,276,552,2300,512,130,105
841,428,856,2728,512,130,124
59,286,573,2492,512,130,107
393,288,577,2296,512,130,110
271,382,764,2533,512,130,117
594,377,754,2575,512,130,109
313,235,471,2352,512,130,106
541,256,513,2229,512,130,112
290,318,636,2416,512,130,102
492,315,630,2492,512,130,108
392,306,612,2410,512,130,107
683,275,550,2174,512,130,109
421,431,862,2791,512,130,116
600,289,578,2486,512,130,111
983,343,686,2354,512,130,109
345,321,642,2474,512,130,109
186,427,854,2719,512,130,116
788,325,651,2539,512,130,124
718,450,900,2710,512,130,103
892,277,554,2131,512,130,97
264,288,576,2229,512,130,112
89,287,575,2284,512,130,108
649,436,872,2747,512,130,105
418,286,573,2492,512,130,107
262,334,668,2514,512,130,107
360,310,621,2580,512,130,110
760,278,556,2456,512,130,109
37,274,549,2365,512,130,107
748,266,532,2421,512,130,109
209,321,643,2542,512,130,116
326,283,566,2262,512,130,105
481,251,502,2153,512,130,112
184,382,764,2533,512,130,117
422,338,677,2508,512,130,107
762,274,549,2365,512,130,107
951,250,501,2163,512,130,111
940,327,655,2501,512,130,105
834,413,826,2668,512,130,116
5,460,920,2809,512,130,116
790,284,568,2314,512,130,109
34,269,539,2333,512,130,105
660,305,611,2279,512,130,117
562,254,509,2196,512,130,109
518,305,611,2442,512,130,109
366,305,610,2280,512,130,117
916,303,607,2315,512,130,106
515,253,506,2196,512,130,110
772,306,612,2548,512,130,109
465,320,641,2569,512,130,110
949,321,643,2542,512,130,116
164,266,532,2207,512,130,111
818,243,487,2226,512,130,110
741,328,657,2544,512,130,124
