sid,BUFF,NOT,AND,PI,PO,LP
400,899,1798,17252,128,128,151
117,976,1952,19486,128,128,156
166,514,1028,17009,128,128,151
669,556,1112,17786,128,128,153
979,773,1546,18434,128,128,154
894,554,1109,17451,128,128,154
717,922,1844,19003,128,128,156
641,488,976,17517,128,128,152
325,773,1546,18567,128,128,156
710,760,1520,18220,128,128,154
599,758,1516,18560,128,128,156
671,756,1513,18504,128,128,153
489,604,1209,17768,128,128,153
436,766,1532,18533,128,128,156
427,922,1845,17190,128,128,152
61,560,1120,18328,128,128,151
84,581,1163,17392,128,128,151
307,789,1578,18272,128,128,156
445,1009,2018,18529,128,128,156
794,467,935,17459,128,128,153
973,899,1798,17680,128,128,153
680,967,1934,19251,128,128,155
706,772,1545,18589,128,128,156
727,795,1591,18933,128,128,157
382,978,1957,18345,128,128,155
245,889,1779,18602,128,128,156
697,955,1911,19541,128,128,154
808,925,1850,18133,128,128,152
408,753,1506,19082,128,128,155
346,795,1590,18182,128,128,157
939,945,1891,19487,128,128,156
880,947,1895,19448,128,128,155
402,795,1590,19036,128,128,155
991,544,1089,17587,128,128,152
901,453,906,17109,128,128,152
615,799,1598,18943,128,128,155
618,991,1983,17822,128,128,154
406,550,1101,16906,128,128,152
396,746,1492,18343,128,128,156
972,569,1139,17705,128,128,154
54,944,1889,19146,128,128,156
548,556,1113,17473,128,128,151
355,919,1839,19063,128,128,156
607,570,1140,18364,128,128,153
558,944,1888,18077,128,128,153
279,1011,2022,18049,128,128,153
414,768,1536,18585,128,128,155
838,564,1128,17551,128,128,153
181,978,1956,19258,128,128,154
696,953,1907,17854,128,128,152
190,913,1827,17174,128,128,153
169,1034,2069,17986,128,128,152
646,926,1852,19111,128,128,155
447,919,1839,19063,128,128,156
910,566,1133,17924,128,128,153
524,957,1914,19127,128,128,156
252,535,1070,17434,128,128,153
707,750,1501,18340,128,128,155
936,762,1525,18568,128,128,156
529,875,1750,18474,128,128,158
542,758,1517,18425,128,128,153
393,999,1998,17801,128,128,153
448,903,1807,17195,128,128,153
585,507,1015,17046,128,128,149
64,729,1459,18242,128,128,153
841,1021,2042,17224,128,128,150
59,954,1909,19378,128,128,159
271,468,936,17423,128,128,151
874,500,1001,17317,128,128,153
313,930,1861,18917,128,128,155
594,904,1809,17076,128,128,155
492,930,1860,18517,128,128,155
541,992,1985,17316,128,128,152
392,527,1055,16904,128,128,153
290,460,920,17674,128,128,153
683,566,1132,18346,128,128,151
421,894,1789,17606,128,128,154
600,777,1554,19367,128,128,154
983,527,1055,17438,128,128,152
186,989,1978,18865,128,128,156
892,500,1000,17829,128,128,151
345,955,1911,19541,128,128,154
718,544,1088,18209,128,128,153
788,968,1937,19470,128,128,155
264,423,846,16897,128,128,153
89,514,1029,16978,128,128,153
649,936,1873,17885,128,128,152
748,780,1560,18625,128,128,155
262,500,1001,17910,128,128,153
418,916,1833,18959,128,128,155
37,775,1551,19380,128,128,156
760,773,1546,18559,128,128,157
209,585,1171,17873,128,128,154
481,752,1505,18448,128,128,153
360,759,1518,18559,128,128,155
422,528,1056,17696,128,128,152
326,479,959,16516,128,128,152
762,810,1621,19205,128,128,156
184,558,1116,17432,128,128,152
790,971,1943,19255,128,128,155
951,720,1440,18799,128,128,151
660,502,1005,17014,128,128,151
940,520,1041,16638,128,128,150
34,744,1488,18558,128,128,156
834,984,1969,17829,128,128,153
562,979,1958,17326,128,128,153
5,957,1914,17815,128,128,153
518,948,1896,19511,128,128,154
366,533,1066,17083,128,128,152
949,748,1497,19135,128,128,157
916,878,1757,17002,128,128,151
818,628,1256,17804,128,128,153
164,567,1134,16917,128,128,149
515,789,1579,19204,128,128,155
772,936,1872,19371,128,128,156
465,629,1259,17357,128,128,154
370,532,1064,17032,128,128,152
984,959,1918,18788,128,128,157
741,949,1898,19454,128,128,154
624,992,1984,17767,128,128,154
604,963,1927,19252,128,128,155
873,946,1893,18882,128,128,156
71,937,1874,17528,128,128,153
988,936,1873,17171,128,128,152
487,940,1881,19339,128,128,154
777,708,1416,18812,128,128,151
362,574,1149,17709,128,128,152
525,945,1891,19429,128,128,154
145,877,1754,17894,128,128,153
162,749,1498,18429,128,128,155
237,533,1067,18210,128,128,151
300,430,861,16872,128,128,152
238,527,1054,17734,128,128,154
666,497,994,17065,128,128,154
453,554,1108,17435,128,128,153
621,898,1797,18889,128,128,155
658,533,1066,17218,128,128,153
132,941,1882,19306,128,128,155
667,542,1085,16639,128,128,152
428,882,1764,18637,128,128,154
19,1031,2063,19920,128,128,155
527,493,987,17767,128,128,153
573,969,1938,19223,128,128,154
216,792,1585,18170,128,128,157
565,757,1515,18499,128,128,155
312,941,1882,17841,128,128,152
644,764,1528,19212,128,128,153
86,573,1146,17447,128,128,152
363,738,1477,19033,128,128,156
970,991,1983,17821,128,128,154
410,524,1048,16671,128,128,151
107,915,1831,18956,128,128,155
505,948,1896,19494,128,128,155
457,849,1699,18786,128,128,156
980,540,1080,17743,128,128,153
206,460,921,17048,128,128,151
446,959,1918,19099,128,128,155
606,955,1910,19356,128,128,156
628,973,1946,19234,128,128,155
974,747,1494,18808,128,128,155
911,979,1959,17803,128,128,154
975,951,1902,18928,128,128,154
327,756,1512,18562,128,128,156
123,901,1802,17175,128,128,153
240,750,1500,18579,128,128,155
147,772,1544,19125,128,128,154
224,961,1923,19191,128,128,154
918,984,1969,17089,128,128,152
497,538,1076,17639,128,128,154
922,603,1206,17808,128,128,154
334,952,1904,17289,128,128,153
434,956,1912,19353,128,128,155
905,767,1535,18518,128,128,158
498,992,1984,19717,128,128,155
832,504,1009,18116,128,128,151
15,775,1550,18582,128,128,155
990,539,1079,16991,128,128,151
775,543,1086,16637,128,128,152
771,992,1984,19717,128,128,155
958,536,1073,18235,128,128,151
593,816,1633,19139,128,128,156
333,923,1846,18940,128,128,155
336,512,1024,16985,128,128,152
960,526,1053,17085,128,128,153
904,551,1102,18168,128,128,155
533,589,1178,18840,128,128,155
862,933,1867,19368,128,128,156
851,525,1051,17021,128,128,152
509,514,1029,17779,128,128,155
906,558,1116,17706,128,128,152
695,940,1880,19461,128,128,156
699,474,948,17283,128,128,152
567,765,1531,18572,128,128,157
90,785,1571,18338,128,128,156
283,932,1865,19073,128,128,156
343,771,1543,18596,128,128,156
102,883,1766,17217,128,128,152
678,943,1887,18985,128,128,155
849,560,1121,17195,128,128,151
485,757,1514,18549,128,128,153
372,782,1564,19186,128,128,155
473,581,1162,17954,128,128,154
475,714,1428,18125,128,128,154
320,942,1885,19357,128,128,156
60,949,1899,19043,128,128,153
879,504,1009,17065,128,128,154
872,782,1565,18537,128,128,155
291,937,1874,19492,128,128,155
25,617,1235,17028,128,128,152
861,778,1557,18372,128,128,154
211,504,1009,18116,128,128,151
555,581,1162,18329,128,128,153
13,990,1981,19860,128,128,156
369,504,1008,16979,128,128,153
168,521,1043,17635,128,128,152
837,936,1872,19483,128,128,157
797,460,920,17208,128,128,152
109,937,1874,19018,128,128,155
500,970,1940,17546,128,128,150
754,942,1885,19379,128,128,156
430,916,1832,17704,128,128,152
796,536,1072,17180,128,128,153
749,924,1848,17769,128,128,153
611,556,1112,17001,128,128,153
474,745,1490,18088,128,128,156
351,960,1920,18620,128,128,157
928,793,1587,19226,128,128,156
352,791,1583,18751,128,128,154
867,548,1096,17392,128,128,152
705,1005,2011,19813,128,128,157
0,1053,2107,17262,128,128,153
595,732,1464,18393,128,128,155
494,522,1044,17396,128,128,155
36,752,1505,18619,128,128,158
69,496,992,17010,128,128,153
46,947,1895,17825,128,128,153
813,570,1140,18364,128,128,153
229,953,1906,17788,128,128,153
276,489,979,17137,128,128,152
144,940,1881,17817,128,128,153
310,930,1860,18190,128,128,153
610,763,1526,18350,128,128,154
137,1053,2107,17262,128,128,153
776,946,1892,18875,128,128,155
519,550,1101,17567,128,128,154
342,567,1135,18220,128,128,153
915,488,976,17740,128,128,154
296,750,1500,18345,128,128,154
134,966,1933,17746,128,128,153
367,772,1544,19089,128,128,154
545,588,1177,18343,128,128,152
941,751,1502,18541,128,128,154
885,1035,2070,17471,128,128,150
161,935,1870,17195,128,128,151
304,570,1140,18396,128,128,152
226,785,1571,18516,128,128,153
148,613,1226,17575,128,128,156
415,990,1981,18155,128,128,151
745,783,1566,19029,128,128,154
551,566,1132,18108,128,128,155
