sid,BUFF,NOT,AND,PI,PO,LP
717,585,1170,11075,3429,3157,18
117,482,964,10349,3429,3157,20
400,821,1642,11001,3429,3157,18
979,1013,2026,11458,3429,3157,19
325,860,1720,10850,3429,3157,18
671,890,1780,11281,3429,3157,20
894,716,1433,10250,3429,3157,18
166,829,1658,11126,3429,3157,19
669,902,1805,10612,3429,3157,18
710,983,1967,11170,3429,3157,18
599,919,1839,11113,3429,3157,19
641,837,1675,10978,3429,3157,19
436,908,1816,11102,3429,3157,19
489,713,1426,10147,3429,3157,18
427,827,1655,11139,3429,3157,19
706,844,1688,10841,3429,3157,18
84,744,1489,11144,3429,3157,18
794,970,1940,11017,3429,3157,20
445,783,1567,10802,3429,3157,18
727,901,1803,10948,3429,3157,19
680,783,1567,10720,3429,3157,19
61,626,1253,10021,3429,3157,19
307,863,1727,11438,3429,3157,18
973,749,1498,11175,3429,3157,19
382,760,1520,10670,3429,3157,19
697,863,1726,11112,3429,3157,20
808,825,1650,10757,3429,3157,18
245,711,1423,10478,3429,3157,20
402,950,1900,11031,3429,3157,18
880,634,1269,10796,3429,3157,19
939,961,1923,11329,3429,3157,21
615,902,1805,10860,3429,3157,18
346,866,1733,11429,3429,3157,17
408,837,1675,10943,3429,3157,17
991,806,1612,10577,3429,3157,18
901,770,1541,10578,3429,3157,17
406,909,1819,10850,3429,3157,18
972,777,1555,10229,3429,3157,18
396,954,1908,11662,3429,3157,19
54,864,1729,10697,3429,3157,18
355,943,1886,11720,3429,3157,18
618,672,1344,10446,3429,3157,18
548,691,1383,10173,3429,3157,18
838,883,1767,11429,3429,3157,19
607,696,1392,10431,3429,3157,18
558,685,1370,11052,3429,3157,19
414,902,1805,10968,3429,3157,19
279,751,1502,10555,3429,3157,18
696,686,1372,10466,3429,3157,19
190,717,1435,10778,3429,3157,19
646,817,1635,10743,3429,3157,19
181,835,1671,10846,3429,3157,19
447,948,1896,11730,3429,3157,17
169,765,1531,10588,3429,3157,19
910,816,1632,10883,3429,3157,19
524,751,1503,11231,3429,3157,19
252,778,1557,10275,3429,3157,17
707,825,1650,10940,3429,3157,18
542,917,1834,11136,3429,3157,20
936,933,1866,11212,3429,3157,19
64,935,1870,11000,3429,3157,18
448,802,1605,10981,3429,3157,19
585,990,1981,11754,3429,3157,18
529,803,1607,10721,3429,3157,18
59,885,1771,10711,3429,3157,19
393,721,1443,10384,3429,3157,18
841,828,1657,10960,3429,3157,18
874,794,1589,10935,3429,3157,19
313,1014,2028,11390,3429,3157,18
271,767,1534,10310,3429,3157,18
594,641,1282,10124,3429,3157,17
541,927,1854,11165,3429,3157,19
290,858,1717,10423,3429,3157,18
392,948,1896,11101,3429,3157,17
492,724,1448,10535,3429,3157,19
421,781,1562,10695,3429,3157,19
983,742,1485,10251,3429,3157,18
186,818,1637,10977,3429,3157,20
683,746,1492,10672,3429,3157,19
600,828,1656,10813,3429,3157,19
345,891,1783,11348,3429,3157,20
892,966,1933,10960,3429,3157,18
718,1005,2010,11130,3429,3157,18
788,610,1221,10830,3429,3157,20
264,767,1535,10196,3429,3157,17
649,839,1679,10810,3429,3157,18
89,749,1498,10634,3429,3157,17
418,939,1878,10579,3429,3157,18
262,1071,2143,11502,3429,3157,18
37,884,1769,11033,3429,3157,18
209,693,1386,10517,3429,3157,18
760,663,1326,10583,3429,3157,18
481,855,1711,11228,3429,3157,18
748,971,1942,11701,3429,3157,19
360,800,1601,10717,3429,3157,19
326,771,1543,10282,3429,3157,17
184,791,1582,10406,3429,3157,18
762,841,1683,10971,3429,3157,18
422,872,1745,10779,3429,3157,17
951,795,1591,10876,3429,3157,18
790,906,1812,11325,3429,3157,17
940,1006,2012,11397,3429,3157,19
5,775,1551,10593,3429,3157,18
834,743,1487,10837,3429,3157,19
562,901,1802,11172,3429,3157,18
660,793,1586,10758,3429,3157,18
366,871,1743,11071,3429,3157,18
34,932,1865,10905,3429,3157,19
518,912,1824,11232,3429,3157,20
515,833,1667,10987,3429,3157,19
949,644,1288,10339,3429,3157,19
916,849,1698,10833,3429,3157,18
772,913,1827,11210,3429,3157,18
465,734,1468,10041,3429,3157,20
741,575,1151,10725,3429,3157,19
164,685,1370,10103,3429,3157,18
370,1001,2003,11267,3429,3157,18
624,860,1720,11110,3429,3157,17
818,730,1461,10785,3429,3157,19
604,933,1866,11601,3429,3157,19
984,740,1480,10799,3429,3157,18
71,743,1487,10410,3429,3157,19
988,768,1536,10843,3429,3157,19
525,888,1776,10951,3429,3157,20
873,864,1729,10945,3429,3157,19
487,953,1906,11330,3429,3157,20
777,887,1774,10914,3429,3157,19
162,899,1799,10865,3429,3157,20
300,668,1336,9979,3429,3157,17
237,746,1493,10564,3429,3157,19
145,810,1620,10754,3429,3157,18
362,730,1461,11022,3429,3157,19
238,792,1584,10776,3429,3157,18
132,895,1791,11358,3429,3157,21
666,794,1588,10862,3429,3157,17
658,946,1892,11700,3429,3157,17
453,883,1767,10697,3429,3157,19
428,871,1743,10742,3429,3157,19
19,601,1203,10630,3429,3157,20
667,892,1785,11358,3429,3157,19
216,887,1774,11350,3429,3157,18
621,868,1737,10707,3429,3157,19
573,805,1610,10851,3429,3157,19
527,896,1792,10623,3429,3157,18
312,904,1809,10803,3429,3157,17
565,969,1939,11599,3429,3157,18
86,752,1505,10291,3429,3157,17
970,669,1338,10287,3429,3157,19
107,965,1931,10937,3429,3157,18
644,705,1411,10560,3429,3157,18
410,710,1420,10544,3429,3157,18
446,568,1136,11108,3429,3157,18
363,786,1573,11385,3429,3157,19
505,867,1735,11102,3429,3157,19
628,929,1859,11000,3429,3157,18
980,859,1719,11981,3429,3157,18
206,746,1493,10251,3429,3157,18
457,922,1844,11464,3429,3157,18
911,703,1407,10602,3429,3157,18
975,868,1736,11078,3429,3157,17
327,920,1841,11175,3429,3157,18
606,921,1843,10710,3429,3157,20
123,881,1762,11241,3429,3157,18
974,786,1573,10927,3429,3157,19
240,870,1740,10993,3429,3157,20
147,858,1717,10866,3429,3157,18
918,890,1780,11100,3429,3157,18
497,794,1588,10388,3429,3157,18
224,862,1725,10855,3429,3157,19
905,1006,2013,11292,3429,3157,18
434,570,1141,10613,3429,3157,18
334,832,1665,10800,3429,3157,16
498,471,942,10430,3429,3157,19
771,479,959,10533,3429,3157,19
922,673,1347,10633,3429,3157,19
15,813,1627,10877,3429,3157,19
832,794,1589,11028,3429,3157,18
958,609,1218,10618,3429,3157,19
990,841,1682,10960,3429,3157,18
775,897,1795,10956,3429,3157,19
333,850,1701,10741,3429,3157,17
336,574,1149,9854,3429,3157,18
593,915,1831,11978,3429,3157,19
862,897,1794,11159,3429,3157,21
960,857,1714,11190,3429,3157,17
851,1059,2118,11416,3429,3157,19
533,569,1139,10578,3429,3157,19
904,893,1787,10899,3429,3157,18
509,870,1740,11122,3429,3157,17
906,699,1399,10872,3429,3157,19
283,903,1806,11183,3429,3157,18
567,915,1831,11265,3429,3157,19
695,534,1068,10498,3429,3157,19
343,1053,2107,11516,3429,3157,19
90,1141,2282,12432,3429,3157,19
699,870,1741,10721,3429,3157,19
678,728,1456,10266,3429,3157,18
102,811,1623,10846,3429,3157,19
485,896,1793,11127,3429,3157,18
849,740,1481,10170,3429,3157,18
475,613,1227,10209,3429,3157,19
473,858,1717,12160,3429,3157,18
372,921,1842,11400,3429,3157,17
879,910,1820,11541,3429,3157,17
320,895,1790,11126,3429,3157,20
60,927,1854,11629,3429,3157,19
872,1007,2014,11545,3429,3157,18
861,1050,2100,11531,3429,3157,19
291,901,1803,11170,3429,3157,19
211,793,1586,11029,3429,3157,18
25,671,1342,10389,3429,3157,18
13,456,912,10504,3429,3157,19
555,775,1551,10887,3429,3157,18
797,638,1277,10515,3429,3157,18
369,712,1425,10480,3429,3157,17
168,864,1729,10430,3429,3157,18
796,918,1836,11146,3429,3157,18
754,827,1654,10649,3429,3157,20
837,882,1764,11298,3429,3157,19
109,944,1888,11727,3429,3157,18
500,918,1836,10895,3429,3157,17
430,920,1840,11092,3429,3157,18
928,856,1712,11042,3429,3157,19
749,732,1465,10395,3429,3157,18
474,838,1677,11211,3429,3157,19
611,875,1751,10770,3429,3157,17
351,696,1393,10615,3429,3157,19
352,1140,2280,12393,3429,3157,19
595,796,1593,10833,3429,3157,20
867,766,1533,10870,3429,3157,18
69,714,1429,10199,3429,3157,18
0,764,1528,10935,3429,3157,19
36,925,1850,11148,3429,3157,18
494,847,1695,10709,3429,3157,18
229,763,1527,10694,3429,3157,16
705,792,1584,10649,3429,3157,17
276,864,1728,11343,3429,3157,18
46,664,1329,10003,3429,3157,16
813,655,1310,10391,3429,3157,18
144,908,1816,11603,3429,3157,19
137,826,1653,11030,3429,3157,19
310,747,1495,10503,3429,3157,19
342,543,1086,9995,3429,3157,18
610,890,1780,11012,3429,3157,18
519,653,1307,10241,3429,3157,19
776,746,1493,10797,3429,3157,19
296,782,1564,11008,3429,3157,19
367,917,1835,10899,3429,3157,20
226,918,1837,10929,3429,3157,19
915,783,1567,10419,3429,3157,18
941,855,1710,10684,3429,3157,20
134,775,1550,10895,3429,3157,19
885,707,1414,10515,3429,3157,18
545,812,1625,11413,3429,3157,19
161,879,1758,11073,3429,3157,19
304,598,1196,9884,3429,3157,18
148,948,1897,11039,3429,3157,17
745,683,1367,10547,3429,3157,19
415,757,1515,10787,3429,3157,18
185,915,1831,10929,3429,3157,19
214,871,1742,11184,3429,3157,20
551,660,1321,10470,3429,3157,18
100,724,1449,10708,3429,3157,18
694,950,1900,11762,3429,3157,17
780,899,1799,11218,3429,3157,19
113,985,1970,11465,3429,3157,19
43,867,1735,11009,3429,3157,17
926,908,1817,11352,3429,3157,19
444,914,1828,10866,3429,3157,20
281,477,955,10438,3429,3157,19
722,959,1918,11163,3429,3157,19
232,859,1719,10927,3429,3157,19
588,786,1573,10938,3429,3157,17
827,931,1862,11016,3429,3157,18
495,797,1595,10755,3429,3157,18
364,837,1674,11167,3429,3157,19
496,1045,2091,12132,3429,3157,17
514,937,1874,11011,3429,3157,19
423,906,1812,11163,3429,3157,19
140,817,1634,11096,3429,3157,19
198,775,1550,10429,3429,3157,16
897,737,1474,10611,3429,3157,19
670,451,903,10506,3429,3157,19
996,586,1173,11100,3429,3157,18
703,851,1702,10867,3429,3157,18
200,944,1889,11602,3429,3157,18
141,762,1524,10779,3429,3157,17
274,846,1693,11068,3429,3157,18
103,1030,2061,11042,3429,3157,19
459,871,1743,10651,3429,3157,18
739,791,1583,11497,3429,3157,19
260,829,1659,10656,3429,3157,18
623,888,1777,11996,3429,3157,19
114,884,1768,11151,3429,3157,20
44,805,1611,10725,3429,3157,17
965,865,1730,11159,3429,3157,18
721,838,1677,10369,3429,3157,20
690,587,1174,10606,3429,3157,18
709,731,1462,10732,3429,3157,18
961,861,1723,10941,3429,3157,17
284,847,1694,11025,3429,3157,16
942,979,1959,11130,3429,3157,19
824,932,1864,11111,3429,3157,19
52,656,1312,10397,3429,3157,18
27,869,1739,11128,3429,3157,20
385,499,999,10969,3429,3157,18
952,854,1709,11265,3429,3157,18
863,733,1467,10389,3429,3157,18
516,899,1798,10786,3429,3157,19
464,887,1774,11671,3429,3157,19
815,906,1812,10911,3429,3157,18
395,709,1419,10651,3429,3157,18
616,910,1820,11063,3429,3157,18
244,924,1848,11029,3429,3157,18
439,672,1345,10274,3429,3157,19
75,969,1938,11028,3429,3157,19
547,822,1645,10776,3429,3157,20
640,993,1987,11603,3429,3157,19
688,837,1674,10881,3429,3157,18
914,771,1543,10958,3429,3157,19
79,767,1534,10608,3429,3157,18
898,821,1643,10324,3429,3157,18
50,560,1121,10642,3429,3157,20
716,451,902,10484,3429,3157,19
467,702,1404,10061,3429,3157,17
167,927,1855,11245,3429,3157,20
309,941,1883,11669,3429,3157,18
285,869,1738,10897,3429,3157,20
472,955,1911,11546,3429,3157,20
662,859,1719,11220,3429,3157,17
116,660,1321,10659,3429,3157,19
66,927,1855,11067,3429,3157,19
42,882,1765,11378,3429,3157,18
389,831,1662,10900,3429,3157,18
752,800,1601,10533,3429,3157,20
672,765,1530,10271,3429,3157,17
597,919,1839,10712,3429,3157,19
479,750,1500,10732,3429,3157,18
959,964,1929,11591,3429,3157,19
508,827,1654,10535,3429,3157,19
907,806,1612,11055,3429,3157,19
919,764,1528,10134,3429,3157,18
